"HOLZEINSCHLAGSMELDUNG für das Jahr 2005"
"Steiermark"
"Betriebe ab 200 ha (ohne ÖBf)"

"EINSCHLAG (IN EFM. O. R.)";"";"";"";"";""
"GESAMTEINSCHLAG";"1737161";"Efm";"";"";""
"NADELHOLZ";"1689820";"Efm";"";"";""
"LAUBHOLZ";"47341";"Efm";"";"";""
"ROHHOLZ - stoffliche Nutzung";"1684681";"Efm";"";"";""
"Nadelrohholz";"1651381";"Efm";"";"";""
"Laubrohholz";"33300";"Efm";"";"";""
"SÄGERUNDHOLZ";"1220867";"Efm";"";"";""
"Sägerundholz > 20cm MDM.";"1062441";"Efm";"";"";""
"Nadelholz";"1050128";"Efm";"";"";""
"davon Fichte/Tanne";"965138";"Efm";"";"";""
"davon Kiefer";"12098";"Efm";"";"";""
"davon Lärche";"70518";"Efm";"";"";""
"Laubholz";"12313";"Efm";"";"";""
"davon Buche";"9542";"Efm";"";"";""
"davon Eiche";"1645";"Efm";"";"";""
"Sägeschwachholz";"158426";"Efm";"";"";""
"Nadelholz";"158332";"Efm";"";"";""
"Laubholz";"94";"Efm";"";"";""
"INDUSTRIERUNDHOLZ";"463814";"Efm";"";"";""
"Nadelholz";"442921";"Efm";"";"";""
"Laubholz";"20893";"Efm";"";"";""
"ROHHOLZ - energetische Nutzung";"52480";"Efm";"";"";""
"Nadelholz";"38439";"Efm";"";"";""
"Laubholz";"14041";"Efm";"";"";""
"SCHADHOLZ";"740349";"Efm";"";"";""
"Nadelholz";"731899";"Efm";"";"";""
"biotische Schäden";"471965";"Efm";"";"";""
"davon Borkenkäfer";"441441";"Efm";"";"";""
"sonstige";"30524";"Efm";"";"";""
"abiotische Schäden";"259934";"Efm";"";"";""
"davon Sturm";"182300";"Efm";"";"";""
"sonstige";"77634";"Efm";"";"";""
"Laubholz";"8450";"Efm";"";"";""
"biotische Schäden";"284";"Efm";"";"";""
"davon Borkenkäfer";"250";"Efm";"";"";""
"sonstige";"34";"Efm";"";"";""
"abiotische Schäden";"8166";"Efm";"";"";""
"davon Sturm";"6157";"Efm";"";"";""
"sonstige";"2009";"Efm";"";"";""
"VORNUTZUNG";"379796";"Efm";"";"";""
"Nadelholz";"366850";"Efm";"";"";""
"Laubholz";"12946";"Efm";"";"";""
"FREMDWERBUNG";"1345271";"Efm";"";"";""
"Nadelholz";"1311019";"Efm";"";"";""
"Unternehmer aus dem EU-Ausland";"27985";"Efm";"";"";""
"Unternehmer aus dem Nicht-EU-Ausland";"94496";"Efm";"";"";""
"Laubholz";"34252";"Efm";"";"";""
"Unternehmer aus dem EU-Ausland";"763";"Efm";"";"";""
"Unternehmer aus dem Nicht-EU-Ausland";"168";"Efm";"";"";""
"HOLZVERWENDUNG (IN EFM O. R.)";"";"";"";"";""
"VERKAUF";"1702689";"Efm";"";"";""
"Nadelholz";"1661123";"Efm";"";"";""
"Laubholz";"41566";"Efm";"";"";""
"EIGENVERBRAUCH";"23921";"Efm";"";"";""
"Nadelholz";"19434";"Efm";"";"";""
"Laubholz";"4487";"Efm";"";"";""
"GEWÄHRTE HOLZBEZUGSRECHTE";"10551";"Efm";"";"";""
"Nadelholz";"9263";"Efm";"";"";""
"Laubholz";"1288";"Efm";"";"";""
"BRINGUNGSWESEN (IN EFM O. R.)";"";"";"";"";""
"Bodenzug von Hand";"62286";"Efm";"";"";""
"Bodenzug mit Zugtier";"39080";"Efm";"";"";""
"Bodenzug maschinell";"652330";"Efm";"";"";""
"Seilgerät";"759458";"Efm";"";"";""
"Sortimentschlepper (Forwarder)";"221515";"Efm";"";"";""
"Sonstiges (inkl. Riesen)";"14081";"Efm";"";"";""
"NUTZUNG DURCH HARVESTER (IN EFM O. R.)";"";"";"";"";""
"Nutzung durch Harvester";"211605";"Efm";"";"";""
"FLÄCHEN DER NUTZUNG (IN HA)";"";"";"";"";""
"Kahlschlag insgesamt";"2015";"ha";"";"";""
"Bewilligte, vollzogene Fällung Kahlschlag";"578";"ha";"";"";""
"Freie Fällung Kahlschlag";"1436";"ha";"";"";""
"Einzelstammentnahme insgesamt";"8193";"ha";"";"";""
"Reduzierte Fläche Einzelst. insgesamt";"2229";"ha";"";"";""
"Bewilligte, vollzogene Fällung Einzelst.";"110";"ha";"";"";""
"Bewill., vollz. Fällung Einzelst. red. Fläche";"36";"ha";"";"";""
"Freie Fällung Einzelstammentnahme";"8083";"ha";"";"";""
"Freie Fällung Einzelst. reduzierte Fläche";"2193";"ha";"";"";""
