"HOLZEINSCHLAGSMELDUNG für das Jahr 2007"
"Steiermark"
"Betriebe ab 200 ha (ohne ÖBf)"

"EINSCHLAG (IN EFM. O. R.)";"";"";"";"";""
"GESAMTEINSCHLAG";"1755233";"Efm";"";"";""
"NADELHOLZ";"1708063";"Efm";"";"";""
"LAUBHOLZ";"47170";"Efm";"";"";""
"ROHHOLZ - stoffliche Nutzung";"1690581";"Efm";"";"";""
"Nadelrohholz";"1656511";"Efm";"";"";""
"Laubrohholz";"34070";"Efm";"";"";""
"SÄGERUNDHOLZ";"1255576";"Efm";"";"";""
"Sägerundholz > 20cm MDM.";"1102930";"Efm";"";"";""
"Nadelholz";"1090010";"Efm";"";"";""
"davon Fichte/Tanne";"976491";"Efm";"";"";""
"davon Kiefer";"18636";"Efm";"";"";""
"davon Lärche";"68567";"Efm";"";"";""
"Laubholz";"12920";"Efm";"";"";""
"davon Buche";"9354";"Efm";"";"";""
"davon Eiche";"1148";"Efm";"";"";""
"Sägeschwachholz";"152646";"Efm";"";"";""
"Nadelholz";"152443";"Efm";"";"";""
"Laubholz";"203";"Efm";"";"";""
"INDUSTRIERUNDHOLZ";"435005";"Efm";"";"";""
"Nadelholz";"414058";"Efm";"";"";""
"Laubholz";"20947";"Efm";"";"";""
"ROHHOLZ - energetische Nutzung";"64652";"Efm";"";"";""
"Nadelholz";"51552";"Efm";"";"";""
"Brennholz";"34456";"Efm";"";"";""
"Waldhackgut";"17096";"Efm";"";"";""
"Laubholz";"13100";"Efm";"";"";""
"Brennholz";"10556";"Efm";"";"";""
"Waldhackgut";"2544";"Efm";"";"";""
"SCHADHOLZ";"904730";"Efm";"";"";""
"Nadelholz";"894684";"Efm";"";"";""
"biotische Schäden";"228786";"Efm";"";"";""
"davon Borkenkäfer";"202030";"Efm";"";"";""
"sonstige";"26756";"Efm";"";"";""
"abiotische Schäden";"665898";"Efm";"";"";""
"davon Sturm";"546598";"Efm";"";"";""
"sonstige";"119300";"Efm";"";"";""
"Laubholz";"10046";"Efm";"";"";""
"biotische Schäden";"247";"Efm";"";"";""
"davon Borkenkäfer";"235";"Efm";"";"";""
"sonstige";"12";"Efm";"";"";""
"abiotische Schäden";"9799";"Efm";"";"";""
"davon Sturm";"7858";"Efm";"";"";""
"sonstige";"1941";"Efm";"";"";""
"VORNUTZUNG";"347169";"Efm";"";"";""
"Nadelholz";"335356";"Efm";"";"";""
"Laubholz";"11813";"Efm";"";"";""
"FREMDWERBUNG";"1266602";"Efm";"";"";""
"Nadelholz";"1243626";"Efm";"";"";""
"Unternehmer aus dem EU-Ausland";"14810";"Efm";"";"";""
"Unternehmer aus dem Nicht-EU-Ausland";"690";"Efm";"";"";""
"Laubholz";"22976";"Efm";"";"";""
"Unternehmer aus dem EU-Ausland";"0";"Efm";"";"";""
"Unternehmer aus dem Nicht-EU-Ausland";"0";"Efm";"";"";""
"HOLZVERWENDUNG (IN EFM O. R.)";"";"";"";"";""
"VERKAUF";"1715808";"Efm";"";"";""
"Nadelholz";"1673022";"Efm";"";"";""
"Sägerundholz";"1232966";"Efm";"";"";""
"Energieholz";"35943";"Efm";"";"";""
"Industrieholz";"404113";"Efm";"";"";""
"Laubholz";"42786";"Efm";"";"";""
"Sägerundholz";"13011";"Efm";"";"";""
"Energieholz";"8662";"Efm";"";"";""
"Industrieholz";"21113";"Efm";"";"";""
"EIGENVERBRAUCH";"27825";"Efm";"";"";""
"Nadelholz";"24268";"Efm";"";"";""
"Nutzholz";"8791";"Efm";"";"";""
"Energieholz";"15477";"Efm";"";"";""
"Laubholz";"3557";"Efm";"";"";""
"Nutzholz";"79";"Efm";"";"";""
"Energieholz";"3478";"Efm";"";"";""
"GEWÄHRTE HOLZBEZUGSRECHTE";"11600";"Efm";"";"";""
"Nadelholz";"10773";"Efm";"";"";""
"Laubholz";"827";"Efm";"";"";""
"BRINGUNGSWESEN (IN EFM O. R.)";"";"";"";"";""
"Bodenzug von Hand";"57837";"Efm";"";"";""
"Bodenzug mit Zugtier";"3454";"Efm";"";"";""
"Bodenzug maschinell";"725417";"Efm";"";"";""
"Seilgerät";"709327";"Efm";"";"";""
"Sortimentschlepper (Forwarder)";"241063";"Efm";"";"";""
"Sonstiges (inkl. Riesen)";"26026";"Efm";"";"";""
"NUTZUNG DURCH HARVESTER (IN EFM O. R.)";"";"";"";"";""
"Nutzung durch Harvester";"221302";"Efm";"";"";""
"FLÄCHEN DER NUTZUNG (IN HA)";"";"";"";"";""
"Kahlschlag insgesamt";"2263";"ha";"";"";""
"Bewilligte, vollzogene Fällung Kahlschlag";"505";"ha";"";"";""
"Freie Fällung Kahlschlag";"1758";"ha";"";"";""
"Einzelstammentnahme insgesamt";"8802";"ha";"";"";""
"Reduzierte Fläche Einzelst. insgesamt";"2108";"ha";"";"";""
"Bewilligte, vollzogene Fällung Einzelst.";"134";"ha";"";"";""
"Bewill., vollz. Fällung Einzelst. red. Fläche";"36";"ha";"";"";""
"Freie Fällung Einzelstammentnahme";"8668";"ha";"";"";""
"Freie Fällung Einzelst. reduzierte Fläche";"2072";"ha";"";"";""
