"HOLZEINSCHLAGSMELDUNG für das Jahr 2008"
"Steiermark"
"Betriebe < 200 ha"

"EINSCHLAG (IN EFM. O. R.)";"";"";"";"";""
"GESAMTEINSCHLAG";"4459821";"Efm";"";"";""
"NADELHOLZ";"3978177";"Efm";"";"";""
"LAUBHOLZ";"481643";"Efm";"";"";""
"ROHHOLZ - stoffliche Nutzung";"3455487";"Efm";"";"";""
"Nadelrohholz";"3366323";"Efm";"";"";""
"Laubrohholz";"89164";"Efm";"";"";""
"SÄGERUNDHOLZ";"2717252";"Efm";"";"";""
"Sägerundholz > 20cm MDM.";"2276081";"Efm";"";"";""
"Nadelholz";"2242529";"Efm";"";"";""
"davon Fichte/Tanne";"2014187";"Efm";"";"";""
"davon Kiefer";"57896";"Efm";"";"";""
"davon Lärche";"112745";"Efm";"";"";""
"Laubholz";"33551";"Efm";"";"";""
"davon Buche";"23024";"Efm";"";"";""
"davon Eiche";"7908";"Efm";"";"";""
"Sägeschwachholz";"441171";"Efm";"";"";""
"Nadelholz";"439109";"Efm";"";"";""
"Laubholz";"2062";"Efm";"";"";""
"INDUSTRIERUNDHOLZ";"738235";"Efm";"";"";""
"Nadelholz";"684684";"Efm";"";"";""
"Laubholz";"53551";"Efm";"";"";""
"ROHHOLZ - energetische Nutzung";"1004334";"Efm";"";"";""
"Nadelholz";"611855";"Efm";"";"";""
"Brennholz";"436680";"Efm";"";"";""
"Waldhackgut";"175175";"Efm";"";"";""
"Laubholz";"392479";"Efm";"";"";""
"Brennholz";"285059";"Efm";"";"";""
"Waldhackgut";"107420";"Efm";"";"";""
"SCHADHOLZ";"3223871";"Efm";"";"";""
"Nadelholz";"3056990";"Efm";"";"";""
"biotische Schäden";"107010";"Efm";"";"";""
"davon Borkenkäfer";"90183";"Efm";"";"";""
"sonstige";"16826";"Efm";"";"";""
"abiotische Schäden";"2949980";"Efm";"";"";""
"davon Sturm";"2824624";"Efm";"";"";""
"sonstige";"125356";"Efm";"";"";""
"Laubholz";"166881";"Efm";"";"";""
"biotische Schäden";"7268";"Efm";"";"";""
"davon Borkenkäfer";"241";"Efm";"";"";""
"sonstige";"7027";"Efm";"";"";""
"abiotische Schäden";"159613";"Efm";"";"";""
"davon Sturm";"157342";"Efm";"";"";""
"sonstige";"2271";"Efm";"";"";""
"VORNUTZUNG";"732178";"Efm";"";"";""
"Nadelholz";"596625";"Efm";"";"";""
"Laubholz";"135553";"Efm";"";"";""
"FREMDWERBUNG";"1232416";"Efm";"";"";""
"Nadelholz";"1217868";"Efm";"";"";""
"Unternehmer aus dem EU-Ausland";"2450";"Efm";"";"";""
"Unternehmer aus dem Nicht-EU-Ausland";"0";"Efm";"";"";""
"Laubholz";"14548";"Efm";"";"";""
"Unternehmer aus dem EU-Ausland";"0";"Efm";"";"";""
"Unternehmer aus dem Nicht-EU-Ausland";"0";"Efm";"";"";""
"HOLZVERWENDUNG (IN EFM O. R.)";"";"";"";"";""
"VERKAUF";"3562441";"Efm";"";"";""
"Nadelholz";"3409122";"Efm";"";"";""
"Sägerundholz";"2577192";"Efm";"";"";""
"Energieholz";"147453";"Efm";"";"";""
"Industrieholz";"684478";"Efm";"";"";""
"Laubholz";"153319";"Efm";"";"";""
"Sägerundholz";"32988";"Efm";"";"";""
"Energieholz";"75330";"Efm";"";"";""
"Industrieholz";"45000";"Efm";"";"";""
"EIGENVERBRAUCH";"882540";"Efm";"";"";""
"Nadelholz";"561815";"Efm";"";"";""
"Nutzholz";"97965";"Efm";"";"";""
"Energieholz";"463850";"Efm";"";"";""
"Laubholz";"320725";"Efm";"";"";""
"Nutzholz";"9099";"Efm";"";"";""
"Energieholz";"311626";"Efm";"";"";""
"GEWÄHRTE HOLZBEZUGSRECHTE";"14839";"Efm";"";"";""
"Nadelholz";"7240";"Efm";"";"";""
"Laubholz";"7599";"Efm";"";"";""
"BRINGUNGSWESEN (IN EFM O. R.)";"";"";"";"";""
"Bodenzug (*)";"2784891";"Efm";"";"";""
"Seilgerät";"602725";"Efm";"";"";""
"Sortimentschlepper (Forwarder)";"1007131";"Efm";"";"";""
"Sonstiges (inkl. Riesen)";"65076";"Efm";"";"";""
"NUTZUNG DURCH HARVESTER (IN EFM O. R.)";"";"";"";"";""
"Nutzung durch Harvester";"771445";"Efm";"";"";""
"FLÄCHEN DER NUTZUNG (IN HA)";"";"";"";"";""
"Kahlschlag insgesamt";"8442";"ha";"";"";""
"Bewilligte, vollzogene Fällung Kahlschlag";"354";"ha";"";"";""
"Freie Fällung Kahlschlag";"8088";"ha";"";"";""
"Einzelstammentnahme insgesamt";"70476";"ha";"";"";""
"Reduzierte Fläche Einzelst. insgesamt";"5685";"ha";"";"";""
"Bewilligte, vollzogene Fällung Einzelst.";"21";"ha";"";"";""
"Bewill., vollz. Fällung Einzelst. red. Fläche";"1";"ha";"";"";""
"Freie Fällung Einzelstammentnahme";"70455";"ha";"";"";""
"Freie Fällung Einzelst. reduzierte Fläche";"5685";"ha";"";"";""
