"HOLZEINSCHLAGSMELDUNG für das Jahr 2010"
"Bruck an der Mur"
"ÖBf"

"EINSCHLAG (IN EFM. O. R.)";"";"";"";"";""
"GESAMTEINSCHLAG";"76073";"Efm";"";"";""
"NADELHOLZ";"73306";"Efm";"";"";""
"LAUBHOLZ";"2768";"Efm";"";"";""
"ROHHOLZ - stoffliche Nutzung";"62884";"Efm";"";"";""
"Nadelrohholz";"61089";"Efm";"";"";""
"Laubrohholz";"1795";"Efm";"";"";""
"SÄGERUNDHOLZ";"44583";"Efm";"";"";""
"Sägerundholz > 20cm MDM.";"39235";"Efm";"";"";""
"Nadelholz";"39151";"Efm";"";"";""
"davon Fichte/Tanne";"38432";"Efm";"";"";""
"davon Kiefer";"38";"Efm";"";"";""
"davon Lärche";"680";"Efm";"";"";""
"Laubholz";"85";"Efm";"";"";""
"davon Buche";"85";"Efm";"";"";""
"davon Eiche";"0";"Efm";"";"";""
"Sägeschwachholz";"5348";"Efm";"";"";""
"Nadelholz";"4526";"Efm";"";"";""
"Laubholz";"822";"Efm";"";"";""
"INDUSTRIERUNDHOLZ";"18301";"Efm";"";"";""
"Nadelholz";"17412";"Efm";"";"";""
"Laubholz";"889";"Efm";"";"";""
"ROHHOLZ - energetische Nutzung";"13189";"Efm";"";"";""
"Nadelholz";"12216";"Efm";"";"";""
"Brennholz";"584";"Efm";"";"";""
"Waldhackgut";"11633";"Efm";"";"";""
"Laubholz";"973";"Efm";"";"";""
"Brennholz";"944";"Efm";"";"";""
"Waldhackgut";"29";"Efm";"";"";""
"SCHADHOLZ";"63518";"Efm";"";"";""
"Nadelholz";"60943";"Efm";"";"";""
"biotische Schäden";"40310";"Efm";"";"";""
"davon Borkenkäfer";"40310";"Efm";"";"";""
"sonstige";"0";"Efm";"";"";""
"abiotische Schäden";"20633";"Efm";"";"";""
"davon Sturm";"20464";"Efm";"";"";""
"sonstige";"169";"Efm";"";"";""
"Laubholz";"2575";"Efm";"";"";""
"biotische Schäden";"132";"Efm";"";"";""
"davon Borkenkäfer";"132";"Efm";"";"";""
"sonstige";"0";"Efm";"";"";""
"abiotische Schäden";"2443";"Efm";"";"";""
"davon Sturm";"2257";"Efm";"";"";""
"sonstige";"186";"Efm";"";"";""
"VORNUTZUNG";"22219";"Efm";"";"";""
"Nadelholz";"21777";"Efm";"";"";""
"Laubholz";"442";"Efm";"";"";""
"FREMDWERBUNG";"37294";"Efm";"";"";""
"Nadelholz";"35700";"Efm";"";"";""
"Unternehmer aus dem EU-Ausland";"13694";"Efm";"";"";""
"Unternehmer aus dem Nicht-EU-Ausland";"227";"Efm";"";"";""
"Laubholz";"1594";"Efm";"";"";""
"Unternehmer aus dem EU-Ausland";"706";"Efm";"";"";""
"Unternehmer aus dem Nicht-EU-Ausland";"10";"Efm";"";"";""
"HOLZVERWENDUNG (IN EFM O. R.)";"";"";"";"";""
"VERKAUF";"75803";"Efm";"";"";""
"Nadelholz";"73182";"Efm";"";"";""
"Sägerundholz";"43251";"Efm";"";"";""
"Energieholz";"12122";"Efm";"";"";""
"Industrieholz";"17809";"Efm";"";"";""
"Laubholz";"2621";"Efm";"";"";""
"Sägerundholz";"906";"Efm";"";"";""
"Energieholz";"826";"Efm";"";"";""
"Industrieholz";"889";"Efm";"";"";""
"EIGENVERBRAUCH";"219";"Efm";"";"";""
"Nadelholz";"73";"Efm";"";"";""
"Nutzholz";"0";"Efm";"";"";""
"Energieholz";"73";"Efm";"";"";""
"Laubholz";"147";"Efm";"";"";""
"Nutzholz";"0";"Efm";"";"";""
"Energieholz";"147";"Efm";"";"";""
"GEWÄHRTE HOLZBEZUGSRECHTE";"4";"Efm";"";"";""
"Nadelholz";"4";"Efm";"";"";""
"Laubholz";"0";"Efm";"";"";""
"BRINGUNGSWESEN (IN EFM O. R.)";"";"";"";"";""
"Bodenzug (*)";"5893";"Efm";"";"";""
"Seilgerät";"30249";"Efm";"";"";""
"Sortimentschlepper (Forwarder)";"37396";"Efm";"";"";""
"Sonstiges (inkl. Riesen)";"2535";"Efm";"";"";""
"NUTZUNG DURCH HARVESTER (IN EFM O. R.)";"";"";"";"";""
"Nutzung durch Harvester";"11782";"Efm";"";"";""
"FLÄCHEN DER NUTZUNG (IN HA)";"";"";"";"";""
"Kahlschlag insgesamt";"70";"ha";"";"";""
"Bewilligte, vollzogene Fällung Kahlschlag";"4";"ha";"";"";""
"Freie Fällung Kahlschlag";"66";"ha";"";"";""
"Einzelstammentnahme insgesamt";"5536";"ha";"";"";""
"Reduzierte Fläche Einzelst. insgesamt";"308";"ha";"";"";""
"Bewilligte, vollzogene Fällung Einzelst.";"20";"ha";"";"";""
"Bewill., vollz. Fällung Einzelst. red. Fläche";"1";"ha";"";"";""
"Freie Fällung Einzelstammentnahme";"5516";"ha";"";"";""
"Freie Fällung Einzelst. reduzierte Fläche";"308";"ha";"";"";""
