"HOLZEINSCHLAGSMELDUNG für das Jahr 2010"
"Deutschlandsberg"
"Betriebe < 200 ha"

"EINSCHLAG (IN EFM. O. R.)";"";"";"";"";""
"GESAMTEINSCHLAG";"119836";"Efm";"";"";""
"NADELHOLZ";"96343";"Efm";"";"";""
"LAUBHOLZ";"23493";"Efm";"";"";""
"ROHHOLZ - stoffliche Nutzung";"79649";"Efm";"";"";""
"Nadelrohholz";"77745";"Efm";"";"";""
"Laubrohholz";"1904";"Efm";"";"";""
"SÄGERUNDHOLZ";"61229";"Efm";"";"";""
"Sägerundholz > 20cm MDM.";"55864";"Efm";"";"";""
"Nadelholz";"53960";"Efm";"";"";""
"davon Fichte/Tanne";"47431";"Efm";"";"";""
"davon Kiefer";"4788";"Efm";"";"";""
"davon Lärche";"1740";"Efm";"";"";""
"Laubholz";"1904";"Efm";"";"";""
"davon Buche";"1904";"Efm";"";"";""
"davon Eiche";"0";"Efm";"";"";""
"Sägeschwachholz";"5365";"Efm";"";"";""
"Nadelholz";"5365";"Efm";"";"";""
"Laubholz";"0";"Efm";"";"";""
"INDUSTRIERUNDHOLZ";"18420";"Efm";"";"";""
"Nadelholz";"18420";"Efm";"";"";""
"Laubholz";"0";"Efm";"";"";""
"ROHHOLZ - energetische Nutzung";"40187";"Efm";"";"";""
"Nadelholz";"18598";"Efm";"";"";""
"Brennholz";"14136";"Efm";"";"";""
"Waldhackgut";"4462";"Efm";"";"";""
"Laubholz";"21589";"Efm";"";"";""
"Brennholz";"20309";"Efm";"";"";""
"Waldhackgut";"1280";"Efm";"";"";""
"SCHADHOLZ";"15387";"Efm";"";"";""
"Nadelholz";"15387";"Efm";"";"";""
"biotische Schäden";"11171";"Efm";"";"";""
"davon Borkenkäfer";"11171";"Efm";"";"";""
"sonstige";"0";"Efm";"";"";""
"abiotische Schäden";"4215";"Efm";"";"";""
"davon Sturm";"3596";"Efm";"";"";""
"sonstige";"620";"Efm";"";"";""
"Laubholz";"0";"Efm";"";"";""
"biotische Schäden";"0";"Efm";"";"";""
"davon Borkenkäfer";"0";"Efm";"";"";""
"sonstige";"0";"Efm";"";"";""
"abiotische Schäden";"0";"Efm";"";"";""
"davon Sturm";"0";"Efm";"";"";""
"sonstige";"0";"Efm";"";"";""
"VORNUTZUNG";"61824";"Efm";"";"";""
"Nadelholz";"46957";"Efm";"";"";""
"Laubholz";"14867";"Efm";"";"";""
"FREMDWERBUNG";"23538";"Efm";"";"";""
"Nadelholz";"21658";"Efm";"";"";""
"Unternehmer aus dem EU-Ausland";"0";"Efm";"";"";""
"Unternehmer aus dem Nicht-EU-Ausland";"105";"Efm";"";"";""
"Laubholz";"1880";"Efm";"";"";""
"Unternehmer aus dem EU-Ausland";"0";"Efm";"";"";""
"Unternehmer aus dem Nicht-EU-Ausland";"0";"Efm";"";"";""
"HOLZVERWENDUNG (IN EFM O. R.)";"";"";"";"";""
"VERKAUF";"85986";"Efm";"";"";""
"Nadelholz";"81027";"Efm";"";"";""
"Sägerundholz";"58410";"Efm";"";"";""
"Energieholz";"4197";"Efm";"";"";""
"Industrieholz";"18420";"Efm";"";"";""
"Laubholz";"4959";"Efm";"";"";""
"Sägerundholz";"1904";"Efm";"";"";""
"Energieholz";"1423";"Efm";"";"";""
"Industrieholz";"1632";"Efm";"";"";""
"EIGENVERBRAUCH";"33602";"Efm";"";"";""
"Nadelholz";"15068";"Efm";"";"";""
"Nutzholz";"480";"Efm";"";"";""
"Energieholz";"14588";"Efm";"";"";""
"Laubholz";"18534";"Efm";"";"";""
"Nutzholz";"0";"Efm";"";"";""
"Energieholz";"18534";"Efm";"";"";""
"GEWÄHRTE HOLZBEZUGSRECHTE";"248";"Efm";"";"";""
"Nadelholz";"248";"Efm";"";"";""
"Laubholz";"0";"Efm";"";"";""
"BRINGUNGSWESEN (IN EFM O. R.)";"";"";"";"";""
"Bodenzug (*)";"106447";"Efm";"";"";""
"Seilgerät";"2173";"Efm";"";"";""
"Sortimentschlepper (Forwarder)";"11216";"Efm";"";"";""
"Sonstiges (inkl. Riesen)";"0";"Efm";"";"";""
"NUTZUNG DURCH HARVESTER (IN EFM O. R.)";"";"";"";"";""
"Nutzung durch Harvester";"4628";"Efm";"";"";""
"FLÄCHEN DER NUTZUNG (IN HA)";"";"";"";"";""
"Kahlschlag insgesamt";"46";"ha";"";"";""
"Bewilligte, vollzogene Fällung Kahlschlag";"33";"ha";"";"";""
"Freie Fällung Kahlschlag";"13";"ha";"";"";""
"Einzelstammentnahme insgesamt";"5032";"ha";"";"";""
"Reduzierte Fläche Einzelst. insgesamt";"318";"ha";"";"";""
"Bewilligte, vollzogene Fällung Einzelst.";"0";"ha";"";"";""
"Bewill., vollz. Fällung Einzelst. red. Fläche";"0";"ha";"";"";""
"Freie Fällung Einzelstammentnahme";"5032";"ha";"";"";""
"Freie Fällung Einzelst. reduzierte Fläche";"318";"ha";"";"";""
