"HOLZEINSCHLAGSMELDUNG für das Jahr 2010"
"Graz"
"Betriebe ab 200 ha (ohne ÖBf)"

"EINSCHLAG (IN EFM. O. R.)";"";"";"";"";""
"GESAMTEINSCHLAG";"127809";"Efm";"";"";""
"NADELHOLZ";"108346";"Efm";"";"";""
"LAUBHOLZ";"19463";"Efm";"";"";""
"ROHHOLZ - stoffliche Nutzung";"121324";"Efm";"";"";""
"Nadelrohholz";"106153";"Efm";"";"";""
"Laubrohholz";"15171";"Efm";"";"";""
"SÄGERUNDHOLZ";"76342";"Efm";"";"";""
"Sägerundholz > 20cm MDM.";"68650";"Efm";"";"";""
"Nadelholz";"64409";"Efm";"";"";""
"davon Fichte/Tanne";"57348";"Efm";"";"";""
"davon Kiefer";"1322";"Efm";"";"";""
"davon Lärche";"5735";"Efm";"";"";""
"Laubholz";"4241";"Efm";"";"";""
"davon Buche";"2618";"Efm";"";"";""
"davon Eiche";"152";"Efm";"";"";""
"Sägeschwachholz";"7692";"Efm";"";"";""
"Nadelholz";"7668";"Efm";"";"";""
"Laubholz";"24";"Efm";"";"";""
"INDUSTRIERUNDHOLZ";"44982";"Efm";"";"";""
"Nadelholz";"34076";"Efm";"";"";""
"Laubholz";"10906";"Efm";"";"";""
"ROHHOLZ - energetische Nutzung";"6485";"Efm";"";"";""
"Nadelholz";"2193";"Efm";"";"";""
"Brennholz";"359";"Efm";"";"";""
"Waldhackgut";"1834";"Efm";"";"";""
"Laubholz";"4292";"Efm";"";"";""
"Brennholz";"1904";"Efm";"";"";""
"Waldhackgut";"2388";"Efm";"";"";""
"SCHADHOLZ";"66077";"Efm";"";"";""
"Nadelholz";"61992";"Efm";"";"";""
"biotische Schäden";"23051";"Efm";"";"";""
"davon Borkenkäfer";"16732";"Efm";"";"";""
"sonstige";"6319";"Efm";"";"";""
"abiotische Schäden";"38941";"Efm";"";"";""
"davon Sturm";"35493";"Efm";"";"";""
"sonstige";"3448";"Efm";"";"";""
"Laubholz";"4085";"Efm";"";"";""
"biotische Schäden";"23";"Efm";"";"";""
"davon Borkenkäfer";"21";"Efm";"";"";""
"sonstige";"2";"Efm";"";"";""
"abiotische Schäden";"4062";"Efm";"";"";""
"davon Sturm";"3584";"Efm";"";"";""
"sonstige";"478";"Efm";"";"";""
"VORNUTZUNG";"31945";"Efm";"";"";""
"Nadelholz";"26536";"Efm";"";"";""
"Laubholz";"5409";"Efm";"";"";""
"FREMDWERBUNG";"82481";"Efm";"";"";""
"Nadelholz";"71367";"Efm";"";"";""
"Unternehmer aus dem EU-Ausland";"0";"Efm";"";"";""
"Unternehmer aus dem Nicht-EU-Ausland";"0";"Efm";"";"";""
"Laubholz";"11114";"Efm";"";"";""
"Unternehmer aus dem EU-Ausland";"0";"Efm";"";"";""
"Unternehmer aus dem Nicht-EU-Ausland";"0";"Efm";"";"";""
"HOLZVERWENDUNG (IN EFM O. R.)";"";"";"";"";""
"VERKAUF";"125577";"Efm";"";"";""
"Nadelholz";"106524";"Efm";"";"";""
"Sägerundholz";"72180";"Efm";"";"";""
"Energieholz";"498";"Efm";"";"";""
"Industrieholz";"33846";"Efm";"";"";""
"Laubholz";"19053";"Efm";"";"";""
"Sägerundholz";"4265";"Efm";"";"";""
"Energieholz";"3882";"Efm";"";"";""
"Industrieholz";"10906";"Efm";"";"";""
"EIGENVERBRAUCH";"2197";"Efm";"";"";""
"Nadelholz";"1787";"Efm";"";"";""
"Nutzholz";"3";"Efm";"";"";""
"Energieholz";"1784";"Efm";"";"";""
"Laubholz";"410";"Efm";"";"";""
"Nutzholz";"0";"Efm";"";"";""
"Energieholz";"410";"Efm";"";"";""
"GEWÄHRTE HOLZBEZUGSRECHTE";"35";"Efm";"";"";""
"Nadelholz";"35";"Efm";"";"";""
"Laubholz";"0";"Efm";"";"";""
"BRINGUNGSWESEN (IN EFM O. R.)";"";"";"";"";""
"Bodenzug (*)";"56496";"Efm";"";"";""
"Seilgerät";"50113";"Efm";"";"";""
"Sortimentschlepper (Forwarder)";"16656";"Efm";"";"";""
"Sonstiges (inkl. Riesen)";"4544";"Efm";"";"";""
"NUTZUNG DURCH HARVESTER (IN EFM O. R.)";"";"";"";"";""
"Nutzung durch Harvester";"10019";"Efm";"";"";""
"FLÄCHEN DER NUTZUNG (IN HA)";"";"";"";"";""
"Kahlschlag insgesamt";"92";"ha";"";"";""
"Bewilligte, vollzogene Fällung Kahlschlag";"30";"ha";"";"";""
"Freie Fällung Kahlschlag";"62";"ha";"";"";""
"Einzelstammentnahme insgesamt";"2047";"ha";"";"";""
"Reduzierte Fläche Einzelst. insgesamt";"474";"ha";"";"";""
"Bewilligte, vollzogene Fällung Einzelst.";"0";"ha";"";"";""
"Bewill., vollz. Fällung Einzelst. red. Fläche";"0";"ha";"";"";""
"Freie Fällung Einzelstammentnahme";"2047";"ha";"";"";""
"Freie Fällung Einzelst. reduzierte Fläche";"474";"ha";"";"";""
