"HOLZEINSCHLAGSMELDUNG für das Jahr 2010"
"Hartberg"
"ÖBf"

"EINSCHLAG (IN EFM. O. R.)";"";"";"";"";""
"GESAMTEINSCHLAG";"198";"Efm";"";"";""
"NADELHOLZ";"167";"Efm";"";"";""
"LAUBHOLZ";"30";"Efm";"";"";""
"ROHHOLZ - stoffliche Nutzung";"94";"Efm";"";"";""
"Nadelrohholz";"80";"Efm";"";"";""
"Laubrohholz";"14";"Efm";"";"";""
"SÄGERUNDHOLZ";"78";"Efm";"";"";""
"Sägerundholz > 20cm MDM.";"73";"Efm";"";"";""
"Nadelholz";"73";"Efm";"";"";""
"davon Fichte/Tanne";"72";"Efm";"";"";""
"davon Kiefer";"1";"Efm";"";"";""
"davon Lärche";"0";"Efm";"";"";""
"Laubholz";"0";"Efm";"";"";""
"davon Buche";"0";"Efm";"";"";""
"davon Eiche";"0";"Efm";"";"";""
"Sägeschwachholz";"5";"Efm";"";"";""
"Nadelholz";"5";"Efm";"";"";""
"Laubholz";"0";"Efm";"";"";""
"INDUSTRIERUNDHOLZ";"16";"Efm";"";"";""
"Nadelholz";"2";"Efm";"";"";""
"Laubholz";"14";"Efm";"";"";""
"ROHHOLZ - energetische Nutzung";"103";"Efm";"";"";""
"Nadelholz";"87";"Efm";"";"";""
"Brennholz";"87";"Efm";"";"";""
"Waldhackgut";"0";"Efm";"";"";""
"Laubholz";"16";"Efm";"";"";""
"Brennholz";"16";"Efm";"";"";""
"Waldhackgut";"0";"Efm";"";"";""
"SCHADHOLZ";"109";"Efm";"";"";""
"Nadelholz";"100";"Efm";"";"";""
"biotische Schäden";"69";"Efm";"";"";""
"davon Borkenkäfer";"69";"Efm";"";"";""
"sonstige";"0";"Efm";"";"";""
"abiotische Schäden";"31";"Efm";"";"";""
"davon Sturm";"31";"Efm";"";"";""
"sonstige";"0";"Efm";"";"";""
"Laubholz";"9";"Efm";"";"";""
"biotische Schäden";"2";"Efm";"";"";""
"davon Borkenkäfer";"2";"Efm";"";"";""
"sonstige";"0";"Efm";"";"";""
"abiotische Schäden";"7";"Efm";"";"";""
"davon Sturm";"7";"Efm";"";"";""
"sonstige";"0";"Efm";"";"";""
"VORNUTZUNG";"75";"Efm";"";"";""
"Nadelholz";"68";"Efm";"";"";""
"Laubholz";"7";"Efm";"";"";""
"FREMDWERBUNG";"119";"Efm";"";"";""
"Nadelholz";"103";"Efm";"";"";""
"Unternehmer aus dem EU-Ausland";"13694";"Efm";"";"";""
"Unternehmer aus dem Nicht-EU-Ausland";"227";"Efm";"";"";""
"Laubholz";"16";"Efm";"";"";""
"Unternehmer aus dem EU-Ausland";"706";"Efm";"";"";""
"Unternehmer aus dem Nicht-EU-Ausland";"10";"Efm";"";"";""
"HOLZVERWENDUNG (IN EFM O. R.)";"";"";"";"";""
"VERKAUF";"190";"Efm";"";"";""
"Nadelholz";"160";"Efm";"";"";""
"Sägerundholz";"78";"Efm";"";"";""
"Energieholz";"80";"Efm";"";"";""
"Industrieholz";"2";"Efm";"";"";""
"Laubholz";"30";"Efm";"";"";""
"Sägerundholz";"0";"Efm";"";"";""
"Energieholz";"16";"Efm";"";"";""
"Industrieholz";"14";"Efm";"";"";""
"EIGENVERBRAUCH";"0";"Efm";"";"";""
"Nadelholz";"0";"Efm";"";"";""
"Nutzholz";"0";"Efm";"";"";""
"Energieholz";"0";"Efm";"";"";""
"Laubholz";"0";"Efm";"";"";""
"Nutzholz";"0";"Efm";"";"";""
"Energieholz";"0";"Efm";"";"";""
"GEWÄHRTE HOLZBEZUGSRECHTE";"8";"Efm";"";"";""
"Nadelholz";"8";"Efm";"";"";""
"Laubholz";"0";"Efm";"";"";""
"BRINGUNGSWESEN (IN EFM O. R.)";"";"";"";"";""
"Bodenzug (*)";"0";"Efm";"";"";""
"Seilgerät";"0";"Efm";"";"";""
"Sortimentschlepper (Forwarder)";"198";"Efm";"";"";""
"Sonstiges (inkl. Riesen)";"0";"Efm";"";"";""
"NUTZUNG DURCH HARVESTER (IN EFM O. R.)";"";"";"";"";""
"Nutzung durch Harvester";"0";"Efm";"";"";""
"FLÄCHEN DER NUTZUNG (IN HA)";"";"";"";"";""
"Kahlschlag insgesamt";"0";"ha";"";"";""
"Bewilligte, vollzogene Fällung Kahlschlag";"0";"ha";"";"";""
"Freie Fällung Kahlschlag";"0";"ha";"";"";""
"Einzelstammentnahme insgesamt";"9";"ha";"";"";""
"Reduzierte Fläche Einzelst. insgesamt";"1";"ha";"";"";""
"Bewilligte, vollzogene Fällung Einzelst.";"0";"ha";"";"";""
"Bewill., vollz. Fällung Einzelst. red. Fläche";"0";"ha";"";"";""
"Freie Fällung Einzelstammentnahme";"9";"ha";"";"";""
"Freie Fällung Einzelst. reduzierte Fläche";"1";"ha";"";"";""
