"HOLZEINSCHLAGSMELDUNG für das Jahr 2010"
"Judenburg"
"Betriebe ab 200 ha (ohne ÖBf)"

"EINSCHLAG (IN EFM. O. R.)";"";"";"";"";""
"GESAMTEINSCHLAG";"122609";"Efm";"";"";""
"NADELHOLZ";"122400";"Efm";"";"";""
"LAUBHOLZ";"209";"Efm";"";"";""
"ROHHOLZ - stoffliche Nutzung";"118072";"Efm";"";"";""
"Nadelrohholz";"118054";"Efm";"";"";""
"Laubrohholz";"18";"Efm";"";"";""
"SÄGERUNDHOLZ";"80473";"Efm";"";"";""
"Sägerundholz > 20cm MDM.";"68877";"Efm";"";"";""
"Nadelholz";"68877";"Efm";"";"";""
"davon Fichte/Tanne";"62146";"Efm";"";"";""
"davon Kiefer";"220";"Efm";"";"";""
"davon Lärche";"4755";"Efm";"";"";""
"Laubholz";"0";"Efm";"";"";""
"davon Buche";"0";"Efm";"";"";""
"davon Eiche";"0";"Efm";"";"";""
"Sägeschwachholz";"11596";"Efm";"";"";""
"Nadelholz";"11596";"Efm";"";"";""
"Laubholz";"0";"Efm";"";"";""
"INDUSTRIERUNDHOLZ";"37599";"Efm";"";"";""
"Nadelholz";"37581";"Efm";"";"";""
"Laubholz";"18";"Efm";"";"";""
"ROHHOLZ - energetische Nutzung";"4537";"Efm";"";"";""
"Nadelholz";"4346";"Efm";"";"";""
"Brennholz";"1333";"Efm";"";"";""
"Waldhackgut";"3013";"Efm";"";"";""
"Laubholz";"191";"Efm";"";"";""
"Brennholz";"101";"Efm";"";"";""
"Waldhackgut";"90";"Efm";"";"";""
"SCHADHOLZ";"49474";"Efm";"";"";""
"Nadelholz";"49474";"Efm";"";"";""
"biotische Schäden";"31691";"Efm";"";"";""
"davon Borkenkäfer";"28317";"Efm";"";"";""
"sonstige";"3374";"Efm";"";"";""
"abiotische Schäden";"17783";"Efm";"";"";""
"davon Sturm";"14485";"Efm";"";"";""
"sonstige";"3298";"Efm";"";"";""
"Laubholz";"0";"Efm";"";"";""
"biotische Schäden";"0";"Efm";"";"";""
"davon Borkenkäfer";"0";"Efm";"";"";""
"sonstige";"0";"Efm";"";"";""
"abiotische Schäden";"0";"Efm";"";"";""
"davon Sturm";"0";"Efm";"";"";""
"sonstige";"0";"Efm";"";"";""
"VORNUTZUNG";"45943";"Efm";"";"";""
"Nadelholz";"45855";"Efm";"";"";""
"Laubholz";"88";"Efm";"";"";""
"FREMDWERBUNG";"92313";"Efm";"";"";""
"Nadelholz";"92297";"Efm";"";"";""
"Unternehmer aus dem EU-Ausland";"0";"Efm";"";"";""
"Unternehmer aus dem Nicht-EU-Ausland";"0";"Efm";"";"";""
"Laubholz";"16";"Efm";"";"";""
"Unternehmer aus dem EU-Ausland";"0";"Efm";"";"";""
"Unternehmer aus dem Nicht-EU-Ausland";"0";"Efm";"";"";""
"HOLZVERWENDUNG (IN EFM O. R.)";"";"";"";"";""
"VERKAUF";"121708";"Efm";"";"";""
"Nadelholz";"121650";"Efm";"";"";""
"Sägerundholz";"80451";"Efm";"";"";""
"Energieholz";"3618";"Efm";"";"";""
"Industrieholz";"37581";"Efm";"";"";""
"Laubholz";"58";"Efm";"";"";""
"Sägerundholz";"0";"Efm";"";"";""
"Energieholz";"40";"Efm";"";"";""
"Industrieholz";"18";"Efm";"";"";""
"EIGENVERBRAUCH";"901";"Efm";"";"";""
"Nadelholz";"750";"Efm";"";"";""
"Nutzholz";"52";"Efm";"";"";""
"Energieholz";"698";"Efm";"";"";""
"Laubholz";"151";"Efm";"";"";""
"Nutzholz";"0";"Efm";"";"";""
"Energieholz";"151";"Efm";"";"";""
"GEWÄHRTE HOLZBEZUGSRECHTE";"0";"Efm";"";"";""
"Nadelholz";"0";"Efm";"";"";""
"Laubholz";"0";"Efm";"";"";""
"BRINGUNGSWESEN (IN EFM O. R.)";"";"";"";"";""
"Bodenzug (*)";"60194";"Efm";"";"";""
"Seilgerät";"43257";"Efm";"";"";""
"Sortimentschlepper (Forwarder)";"16167";"Efm";"";"";""
"Sonstiges (inkl. Riesen)";"2991";"Efm";"";"";""
"NUTZUNG DURCH HARVESTER (IN EFM O. R.)";"";"";"";"";""
"Nutzung durch Harvester";"11137";"Efm";"";"";""
"FLÄCHEN DER NUTZUNG (IN HA)";"";"";"";"";""
"Kahlschlag insgesamt";"90";"ha";"";"";""
"Bewilligte, vollzogene Fällung Kahlschlag";"29";"ha";"";"";""
"Freie Fällung Kahlschlag";"61";"ha";"";"";""
"Einzelstammentnahme insgesamt";"771";"ha";"";"";""
"Reduzierte Fläche Einzelst. insgesamt";"248";"ha";"";"";""
"Bewilligte, vollzogene Fällung Einzelst.";"0";"ha";"";"";""
"Bewill., vollz. Fällung Einzelst. red. Fläche";"0";"ha";"";"";""
"Freie Fällung Einzelstammentnahme";"771";"ha";"";"";""
"Freie Fällung Einzelst. reduzierte Fläche";"248";"ha";"";"";""
