"HOLZEINSCHLAGSMELDUNG für das Jahr 2010"
"Leibnitz"
"Betriebe ab 200 ha (ohne ÖBf)"

"EINSCHLAG (IN EFM. O. R.)";"";"";"";"";""
"GESAMTEINSCHLAG";"4184";"Efm";"";"";""
"NADELHOLZ";"2534";"Efm";"";"";""
"LAUBHOLZ";"1650";"Efm";"";"";""
"ROHHOLZ - stoffliche Nutzung";"2562";"Efm";"";"";""
"Nadelrohholz";"1990";"Efm";"";"";""
"Laubrohholz";"572";"Efm";"";"";""
"SÄGERUNDHOLZ";"1646";"Efm";"";"";""
"Sägerundholz > 20cm MDM.";"1274";"Efm";"";"";""
"Nadelholz";"1017";"Efm";"";"";""
"davon Fichte/Tanne";"843";"Efm";"";"";""
"davon Kiefer";"169";"Efm";"";"";""
"davon Lärche";"5";"Efm";"";"";""
"Laubholz";"257";"Efm";"";"";""
"davon Buche";"131";"Efm";"";"";""
"davon Eiche";"117";"Efm";"";"";""
"Sägeschwachholz";"372";"Efm";"";"";""
"Nadelholz";"372";"Efm";"";"";""
"Laubholz";"0";"Efm";"";"";""
"INDUSTRIERUNDHOLZ";"916";"Efm";"";"";""
"Nadelholz";"601";"Efm";"";"";""
"Laubholz";"315";"Efm";"";"";""
"ROHHOLZ - energetische Nutzung";"1622";"Efm";"";"";""
"Nadelholz";"544";"Efm";"";"";""
"Brennholz";"4";"Efm";"";"";""
"Waldhackgut";"540";"Efm";"";"";""
"Laubholz";"1078";"Efm";"";"";""
"Brennholz";"45";"Efm";"";"";""
"Waldhackgut";"1033";"Efm";"";"";""
"SCHADHOLZ";"512";"Efm";"";"";""
"Nadelholz";"487";"Efm";"";"";""
"biotische Schäden";"325";"Efm";"";"";""
"davon Borkenkäfer";"325";"Efm";"";"";""
"sonstige";"0";"Efm";"";"";""
"abiotische Schäden";"162";"Efm";"";"";""
"davon Sturm";"155";"Efm";"";"";""
"sonstige";"7";"Efm";"";"";""
"Laubholz";"25";"Efm";"";"";""
"biotische Schäden";"0";"Efm";"";"";""
"davon Borkenkäfer";"0";"Efm";"";"";""
"sonstige";"0";"Efm";"";"";""
"abiotische Schäden";"25";"Efm";"";"";""
"davon Sturm";"25";"Efm";"";"";""
"sonstige";"0";"Efm";"";"";""
"VORNUTZUNG";"3374";"Efm";"";"";""
"Nadelholz";"2029";"Efm";"";"";""
"Laubholz";"1345";"Efm";"";"";""
"FREMDWERBUNG";"2363";"Efm";"";"";""
"Nadelholz";"1445";"Efm";"";"";""
"Unternehmer aus dem EU-Ausland";"0";"Efm";"";"";""
"Unternehmer aus dem Nicht-EU-Ausland";"0";"Efm";"";"";""
"Laubholz";"918";"Efm";"";"";""
"Unternehmer aus dem EU-Ausland";"0";"Efm";"";"";""
"Unternehmer aus dem Nicht-EU-Ausland";"0";"Efm";"";"";""
"HOLZVERWENDUNG (IN EFM O. R.)";"";"";"";"";""
"VERKAUF";"4135";"Efm";"";"";""
"Nadelholz";"2530";"Efm";"";"";""
"Sägerundholz";"1389";"Efm";"";"";""
"Energieholz";"540";"Efm";"";"";""
"Industrieholz";"601";"Efm";"";"";""
"Laubholz";"1605";"Efm";"";"";""
"Sägerundholz";"257";"Efm";"";"";""
"Energieholz";"1033";"Efm";"";"";""
"Industrieholz";"315";"Efm";"";"";""
"EIGENVERBRAUCH";"49";"Efm";"";"";""
"Nadelholz";"4";"Efm";"";"";""
"Nutzholz";"0";"Efm";"";"";""
"Energieholz";"4";"Efm";"";"";""
"Laubholz";"45";"Efm";"";"";""
"Nutzholz";"0";"Efm";"";"";""
"Energieholz";"45";"Efm";"";"";""
"GEWÄHRTE HOLZBEZUGSRECHTE";"0";"Efm";"";"";""
"Nadelholz";"0";"Efm";"";"";""
"Laubholz";"0";"Efm";"";"";""
"BRINGUNGSWESEN (IN EFM O. R.)";"";"";"";"";""
"Bodenzug (*)";"2626";"Efm";"";"";""
"Seilgerät";"0";"Efm";"";"";""
"Sortimentschlepper (Forwarder)";"1558";"Efm";"";"";""
"Sonstiges (inkl. Riesen)";"0";"Efm";"";"";""
"NUTZUNG DURCH HARVESTER (IN EFM O. R.)";"";"";"";"";""
"Nutzung durch Harvester";"1874";"Efm";"";"";""
"FLÄCHEN DER NUTZUNG (IN HA)";"";"";"";"";""
"Kahlschlag insgesamt";"3";"ha";"";"";""
"Bewilligte, vollzogene Fällung Kahlschlag";"0";"ha";"";"";""
"Freie Fällung Kahlschlag";"3";"ha";"";"";""
"Einzelstammentnahme insgesamt";"32";"ha";"";"";""
"Reduzierte Fläche Einzelst. insgesamt";"10";"ha";"";"";""
"Bewilligte, vollzogene Fällung Einzelst.";"0";"ha";"";"";""
"Bewill., vollz. Fällung Einzelst. red. Fläche";"0";"ha";"";"";""
"Freie Fällung Einzelstammentnahme";"32";"ha";"";"";""
"Freie Fällung Einzelst. reduzierte Fläche";"10";"ha";"";"";""
