"HOLZEINSCHLAGSMELDUNG für das Jahr 2010"
"Leibnitz"
"Betriebe < 200 ha"

"EINSCHLAG (IN EFM. O. R.)";"";"";"";"";""
"GESAMTEINSCHLAG";"89737";"Efm";"";"";""
"NADELHOLZ";"48125";"Efm";"";"";""
"LAUBHOLZ";"41612";"Efm";"";"";""
"ROHHOLZ - stoffliche Nutzung";"28116";"Efm";"";"";""
"Nadelrohholz";"20946";"Efm";"";"";""
"Laubrohholz";"7170";"Efm";"";"";""
"SÄGERUNDHOLZ";"25182";"Efm";"";"";""
"Sägerundholz > 20cm MDM.";"24284";"Efm";"";"";""
"Nadelholz";"18366";"Efm";"";"";""
"davon Fichte/Tanne";"16598";"Efm";"";"";""
"davon Kiefer";"1611";"Efm";"";"";""
"davon Lärche";"0";"Efm";"";"";""
"Laubholz";"5919";"Efm";"";"";""
"davon Buche";"4320";"Efm";"";"";""
"davon Eiche";"471";"Efm";"";"";""
"Sägeschwachholz";"898";"Efm";"";"";""
"Nadelholz";"898";"Efm";"";"";""
"Laubholz";"0";"Efm";"";"";""
"INDUSTRIERUNDHOLZ";"2934";"Efm";"";"";""
"Nadelholz";"1683";"Efm";"";"";""
"Laubholz";"1252";"Efm";"";"";""
"ROHHOLZ - energetische Nutzung";"61621";"Efm";"";"";""
"Nadelholz";"27179";"Efm";"";"";""
"Brennholz";"13110";"Efm";"";"";""
"Waldhackgut";"14069";"Efm";"";"";""
"Laubholz";"34442";"Efm";"";"";""
"Brennholz";"21996";"Efm";"";"";""
"Waldhackgut";"12446";"Efm";"";"";""
"SCHADHOLZ";"31400";"Efm";"";"";""
"Nadelholz";"18132";"Efm";"";"";""
"biotische Schäden";"7325";"Efm";"";"";""
"davon Borkenkäfer";"7042";"Efm";"";"";""
"sonstige";"283";"Efm";"";"";""
"abiotische Schäden";"10807";"Efm";"";"";""
"davon Sturm";"8572";"Efm";"";"";""
"sonstige";"2235";"Efm";"";"";""
"Laubholz";"13268";"Efm";"";"";""
"biotische Schäden";"499";"Efm";"";"";""
"davon Borkenkäfer";"79";"Efm";"";"";""
"sonstige";"421";"Efm";"";"";""
"abiotische Schäden";"12769";"Efm";"";"";""
"davon Sturm";"10175";"Efm";"";"";""
"sonstige";"2594";"Efm";"";"";""
"VORNUTZUNG";"34574";"Efm";"";"";""
"Nadelholz";"15821";"Efm";"";"";""
"Laubholz";"18753";"Efm";"";"";""
"FREMDWERBUNG";"2975";"Efm";"";"";""
"Nadelholz";"2975";"Efm";"";"";""
"Unternehmer aus dem EU-Ausland";"0";"Efm";"";"";""
"Unternehmer aus dem Nicht-EU-Ausland";"0";"Efm";"";"";""
"Laubholz";"0";"Efm";"";"";""
"Unternehmer aus dem EU-Ausland";"0";"Efm";"";"";""
"Unternehmer aus dem Nicht-EU-Ausland";"0";"Efm";"";"";""
"HOLZVERWENDUNG (IN EFM O. R.)";"";"";"";"";""
"VERKAUF";"30360";"Efm";"";"";""
"Nadelholz";"21372";"Efm";"";"";""
"Sägerundholz";"17519";"Efm";"";"";""
"Energieholz";"2425";"Efm";"";"";""
"Industrieholz";"1429";"Efm";"";"";""
"Laubholz";"8988";"Efm";"";"";""
"Sägerundholz";"5919";"Efm";"";"";""
"Energieholz";"2049";"Efm";"";"";""
"Industrieholz";"1021";"Efm";"";"";""
"EIGENVERBRAUCH";"58607";"Efm";"";"";""
"Nadelholz";"26214";"Efm";"";"";""
"Nutzholz";"1745";"Efm";"";"";""
"Energieholz";"24469";"Efm";"";"";""
"Laubholz";"32393";"Efm";"";"";""
"Nutzholz";"0";"Efm";"";"";""
"Energieholz";"32393";"Efm";"";"";""
"GEWÄHRTE HOLZBEZUGSRECHTE";"770";"Efm";"";"";""
"Nadelholz";"539";"Efm";"";"";""
"Laubholz";"231";"Efm";"";"";""
"BRINGUNGSWESEN (IN EFM O. R.)";"";"";"";"";""
"Bodenzug (*)";"75440";"Efm";"";"";""
"Seilgerät";"0";"Efm";"";"";""
"Sortimentschlepper (Forwarder)";"14297";"Efm";"";"";""
"Sonstiges (inkl. Riesen)";"0";"Efm";"";"";""
"NUTZUNG DURCH HARVESTER (IN EFM O. R.)";"";"";"";"";""
"Nutzung durch Harvester";"2513";"Efm";"";"";""
"FLÄCHEN DER NUTZUNG (IN HA)";"";"";"";"";""
"Kahlschlag insgesamt";"38";"ha";"";"";""
"Bewilligte, vollzogene Fällung Kahlschlag";"8";"ha";"";"";""
"Freie Fällung Kahlschlag";"30";"ha";"";"";""
"Einzelstammentnahme insgesamt";"7676";"ha";"";"";""
"Reduzierte Fläche Einzelst. insgesamt";"293";"ha";"";"";""
"Bewilligte, vollzogene Fällung Einzelst.";"0";"ha";"";"";""
"Bewill., vollz. Fällung Einzelst. red. Fläche";"0";"ha";"";"";""
"Freie Fällung Einzelstammentnahme";"7676";"ha";"";"";""
"Freie Fällung Einzelst. reduzierte Fläche";"293";"ha";"";"";""
