"HOLZEINSCHLAGSMELDUNG für das Jahr 2010"
"Radkersburg"
"Betriebe ab 200 ha (ohne ÖBf)"

"EINSCHLAG (IN EFM. O. R.)";"";"";"";"";""
"GESAMTEINSCHLAG";"4722";"Efm";"";"";""
"NADELHOLZ";"3878";"Efm";"";"";""
"LAUBHOLZ";"844";"Efm";"";"";""
"ROHHOLZ - stoffliche Nutzung";"3762";"Efm";"";"";""
"Nadelrohholz";"3482";"Efm";"";"";""
"Laubrohholz";"280";"Efm";"";"";""
"SÄGERUNDHOLZ";"2799";"Efm";"";"";""
"Sägerundholz > 20cm MDM.";"2561";"Efm";"";"";""
"Nadelholz";"2281";"Efm";"";"";""
"davon Fichte/Tanne";"1979";"Efm";"";"";""
"davon Kiefer";"302";"Efm";"";"";""
"davon Lärche";"0";"Efm";"";"";""
"Laubholz";"280";"Efm";"";"";""
"davon Buche";"0";"Efm";"";"";""
"davon Eiche";"280";"Efm";"";"";""
"Sägeschwachholz";"238";"Efm";"";"";""
"Nadelholz";"238";"Efm";"";"";""
"Laubholz";"0";"Efm";"";"";""
"INDUSTRIERUNDHOLZ";"963";"Efm";"";"";""
"Nadelholz";"963";"Efm";"";"";""
"Laubholz";"0";"Efm";"";"";""
"ROHHOLZ - energetische Nutzung";"960";"Efm";"";"";""
"Nadelholz";"396";"Efm";"";"";""
"Brennholz";"0";"Efm";"";"";""
"Waldhackgut";"396";"Efm";"";"";""
"Laubholz";"564";"Efm";"";"";""
"Brennholz";"226";"Efm";"";"";""
"Waldhackgut";"338";"Efm";"";"";""
"SCHADHOLZ";"2069";"Efm";"";"";""
"Nadelholz";"1686";"Efm";"";"";""
"biotische Schäden";"1678";"Efm";"";"";""
"davon Borkenkäfer";"1678";"Efm";"";"";""
"sonstige";"0";"Efm";"";"";""
"abiotische Schäden";"8";"Efm";"";"";""
"davon Sturm";"8";"Efm";"";"";""
"sonstige";"0";"Efm";"";"";""
"Laubholz";"383";"Efm";"";"";""
"biotische Schäden";"0";"Efm";"";"";""
"davon Borkenkäfer";"0";"Efm";"";"";""
"sonstige";"0";"Efm";"";"";""
"abiotische Schäden";"383";"Efm";"";"";""
"davon Sturm";"383";"Efm";"";"";""
"sonstige";"0";"Efm";"";"";""
"VORNUTZUNG";"1301";"Efm";"";"";""
"Nadelholz";"1199";"Efm";"";"";""
"Laubholz";"102";"Efm";"";"";""
"FREMDWERBUNG";"4722";"Efm";"";"";""
"Nadelholz";"3878";"Efm";"";"";""
"Unternehmer aus dem EU-Ausland";"0";"Efm";"";"";""
"Unternehmer aus dem Nicht-EU-Ausland";"0";"Efm";"";"";""
"Laubholz";"844";"Efm";"";"";""
"Unternehmer aus dem EU-Ausland";"0";"Efm";"";"";""
"Unternehmer aus dem Nicht-EU-Ausland";"0";"Efm";"";"";""
"HOLZVERWENDUNG (IN EFM O. R.)";"";"";"";"";""
"VERKAUF";"4651";"Efm";"";"";""
"Nadelholz";"3878";"Efm";"";"";""
"Sägerundholz";"2518";"Efm";"";"";""
"Energieholz";"396";"Efm";"";"";""
"Industrieholz";"964";"Efm";"";"";""
"Laubholz";"773";"Efm";"";"";""
"Sägerundholz";"305";"Efm";"";"";""
"Energieholz";"468";"Efm";"";"";""
"Industrieholz";"0";"Efm";"";"";""
"EIGENVERBRAUCH";"71";"Efm";"";"";""
"Nadelholz";"0";"Efm";"";"";""
"Nutzholz";"0";"Efm";"";"";""
"Energieholz";"0";"Efm";"";"";""
"Laubholz";"71";"Efm";"";"";""
"Nutzholz";"31";"Efm";"";"";""
"Energieholz";"40";"Efm";"";"";""
"GEWÄHRTE HOLZBEZUGSRECHTE";"0";"Efm";"";"";""
"Nadelholz";"0";"Efm";"";"";""
"Laubholz";"0";"Efm";"";"";""
"BRINGUNGSWESEN (IN EFM O. R.)";"";"";"";"";""
"Bodenzug (*)";"3660";"Efm";"";"";""
"Seilgerät";"0";"Efm";"";"";""
"Sortimentschlepper (Forwarder)";"1062";"Efm";"";"";""
"Sonstiges (inkl. Riesen)";"0";"Efm";"";"";""
"NUTZUNG DURCH HARVESTER (IN EFM O. R.)";"";"";"";"";""
"Nutzung durch Harvester";"1058";"Efm";"";"";""
"FLÄCHEN DER NUTZUNG (IN HA)";"";"";"";"";""
"Kahlschlag insgesamt";"7";"ha";"";"";""
"Bewilligte, vollzogene Fällung Kahlschlag";"0";"ha";"";"";""
"Freie Fällung Kahlschlag";"7";"ha";"";"";""
"Einzelstammentnahme insgesamt";"28";"ha";"";"";""
"Reduzierte Fläche Einzelst. insgesamt";"3";"ha";"";"";""
"Bewilligte, vollzogene Fällung Einzelst.";"0";"ha";"";"";""
"Bewill., vollz. Fällung Einzelst. red. Fläche";"0";"ha";"";"";""
"Freie Fällung Einzelstammentnahme";"28";"ha";"";"";""
"Freie Fällung Einzelst. reduzierte Fläche";"3";"ha";"";"";""
