"HOLZEINSCHLAGSMELDUNG für das Jahr 2010"
"Stainach"
"Betriebe ab 200 ha (ohne ÖBf)"

"EINSCHLAG (IN EFM. O. R.)";"";"";"";"";""
"GESAMTEINSCHLAG";"103046";"Efm";"";"";""
"NADELHOLZ";"101503";"Efm";"";"";""
"LAUBHOLZ";"1543";"Efm";"";"";""
"ROHHOLZ - stoffliche Nutzung";"92777";"Efm";"";"";""
"Nadelrohholz";"92523";"Efm";"";"";""
"Laubrohholz";"254";"Efm";"";"";""
"SÄGERUNDHOLZ";"66152";"Efm";"";"";""
"Sägerundholz > 20cm MDM.";"57573";"Efm";"";"";""
"Nadelholz";"57538";"Efm";"";"";""
"davon Fichte/Tanne";"55593";"Efm";"";"";""
"davon Kiefer";"5";"Efm";"";"";""
"davon Lärche";"1940";"Efm";"";"";""
"Laubholz";"35";"Efm";"";"";""
"davon Buche";"35";"Efm";"";"";""
"davon Eiche";"0";"Efm";"";"";""
"Sägeschwachholz";"8579";"Efm";"";"";""
"Nadelholz";"8579";"Efm";"";"";""
"Laubholz";"0";"Efm";"";"";""
"INDUSTRIERUNDHOLZ";"26625";"Efm";"";"";""
"Nadelholz";"26406";"Efm";"";"";""
"Laubholz";"219";"Efm";"";"";""
"ROHHOLZ - energetische Nutzung";"10269";"Efm";"";"";""
"Nadelholz";"8980";"Efm";"";"";""
"Brennholz";"6511";"Efm";"";"";""
"Waldhackgut";"2469";"Efm";"";"";""
"Laubholz";"1289";"Efm";"";"";""
"Brennholz";"1249";"Efm";"";"";""
"Waldhackgut";"40";"Efm";"";"";""
"SCHADHOLZ";"61816";"Efm";"";"";""
"Nadelholz";"61068";"Efm";"";"";""
"biotische Schäden";"38307";"Efm";"";"";""
"davon Borkenkäfer";"38054";"Efm";"";"";""
"sonstige";"253";"Efm";"";"";""
"abiotische Schäden";"22761";"Efm";"";"";""
"davon Sturm";"18406";"Efm";"";"";""
"sonstige";"4355";"Efm";"";"";""
"Laubholz";"748";"Efm";"";"";""
"biotische Schäden";"168";"Efm";"";"";""
"davon Borkenkäfer";"168";"Efm";"";"";""
"sonstige";"0";"Efm";"";"";""
"abiotische Schäden";"580";"Efm";"";"";""
"davon Sturm";"141";"Efm";"";"";""
"sonstige";"439";"Efm";"";"";""
"VORNUTZUNG";"8604";"Efm";"";"";""
"Nadelholz";"8287";"Efm";"";"";""
"Laubholz";"317";"Efm";"";"";""
"FREMDWERBUNG";"74441";"Efm";"";"";""
"Nadelholz";"74384";"Efm";"";"";""
"Unternehmer aus dem EU-Ausland";"0";"Efm";"";"";""
"Unternehmer aus dem Nicht-EU-Ausland";"0";"Efm";"";"";""
"Laubholz";"57";"Efm";"";"";""
"Unternehmer aus dem EU-Ausland";"0";"Efm";"";"";""
"Unternehmer aus dem Nicht-EU-Ausland";"0";"Efm";"";"";""
"HOLZVERWENDUNG (IN EFM O. R.)";"";"";"";"";""
"VERKAUF";"92159";"Efm";"";"";""
"Nadelholz";"91019";"Efm";"";"";""
"Sägerundholz";"61985";"Efm";"";"";""
"Energieholz";"4232";"Efm";"";"";""
"Industrieholz";"24802";"Efm";"";"";""
"Laubholz";"1140";"Efm";"";"";""
"Sägerundholz";"0";"Efm";"";"";""
"Energieholz";"627";"Efm";"";"";""
"Industrieholz";"513";"Efm";"";"";""
"EIGENVERBRAUCH";"3003";"Efm";"";"";""
"Nadelholz";"2620";"Efm";"";"";""
"Nutzholz";"608";"Efm";"";"";""
"Energieholz";"2012";"Efm";"";"";""
"Laubholz";"383";"Efm";"";"";""
"Nutzholz";"0";"Efm";"";"";""
"Energieholz";"383";"Efm";"";"";""
"GEWÄHRTE HOLZBEZUGSRECHTE";"7884";"Efm";"";"";""
"Nadelholz";"7864";"Efm";"";"";""
"Laubholz";"20";"Efm";"";"";""
"BRINGUNGSWESEN (IN EFM O. R.)";"";"";"";"";""
"Bodenzug (*)";"46194";"Efm";"";"";""
"Seilgerät";"50140";"Efm";"";"";""
"Sortimentschlepper (Forwarder)";"4781";"Efm";"";"";""
"Sonstiges (inkl. Riesen)";"1931";"Efm";"";"";""
"NUTZUNG DURCH HARVESTER (IN EFM O. R.)";"";"";"";"";""
"Nutzung durch Harvester";"1256";"Efm";"";"";""
"FLÄCHEN DER NUTZUNG (IN HA)";"";"";"";"";""
"Kahlschlag insgesamt";"213";"ha";"";"";""
"Bewilligte, vollzogene Fällung Kahlschlag";"37";"ha";"";"";""
"Freie Fällung Kahlschlag";"176";"ha";"";"";""
"Einzelstammentnahme insgesamt";"337";"ha";"";"";""
"Reduzierte Fläche Einzelst. insgesamt";"58";"ha";"";"";""
"Bewilligte, vollzogene Fällung Einzelst.";"0";"ha";"";"";""
"Bewill., vollz. Fällung Einzelst. red. Fläche";"0";"ha";"";"";""
"Freie Fällung Einzelstammentnahme";"337";"ha";"";"";""
"Freie Fällung Einzelst. reduzierte Fläche";"58";"ha";"";"";""
