"HOLZEINSCHLAGSMELDUNG für das Jahr 2010"
"Steiermark"
"Betriebe ab 200 ha (ohne ÖBf)"

"EINSCHLAG (IN EFM. O. R.)";"";"";"";"";""
"GESAMTEINSCHLAG";"1852876";"Efm";"";"";""
"NADELHOLZ";"1804172";"Efm";"";"";""
"LAUBHOLZ";"48704";"Efm";"";"";""
"ROHHOLZ - stoffliche Nutzung";"1772987";"Efm";"";"";""
"Nadelrohholz";"1742630";"Efm";"";"";""
"Laubrohholz";"30357";"Efm";"";"";""
"SÄGERUNDHOLZ";"1253667";"Efm";"";"";""
"Sägerundholz > 20cm MDM.";"1096241";"Efm";"";"";""
"Nadelholz";"1086488";"Efm";"";"";""
"davon Fichte/Tanne";"995387";"Efm";"";"";""
"davon Kiefer";"10397";"Efm";"";"";""
"davon Lärche";"64837";"Efm";"";"";""
"Laubholz";"9753";"Efm";"";"";""
"davon Buche";"6753";"Efm";"";"";""
"davon Eiche";"1117";"Efm";"";"";""
"Sägeschwachholz";"157426";"Efm";"";"";""
"Nadelholz";"157242";"Efm";"";"";""
"Laubholz";"184";"Efm";"";"";""
"INDUSTRIERUNDHOLZ";"519320";"Efm";"";"";""
"Nadelholz";"498900";"Efm";"";"";""
"Laubholz";"20420";"Efm";"";"";""
"ROHHOLZ - energetische Nutzung";"79889";"Efm";"";"";""
"Nadelholz";"61542";"Efm";"";"";""
"Brennholz";"35656";"Efm";"";"";""
"Waldhackgut";"25886";"Efm";"";"";""
"Laubholz";"18347";"Efm";"";"";""
"Brennholz";"12376";"Efm";"";"";""
"Waldhackgut";"5971";"Efm";"";"";""
"SCHADHOLZ";"960819";"Efm";"";"";""
"Nadelholz";"948373";"Efm";"";"";""
"biotische Schäden";"598121";"Efm";"";"";""
"davon Borkenkäfer";"575649";"Efm";"";"";""
"sonstige";"22472";"Efm";"";"";""
"abiotische Schäden";"350252";"Efm";"";"";""
"davon Sturm";"302315";"Efm";"";"";""
"sonstige";"47937";"Efm";"";"";""
"Laubholz";"12446";"Efm";"";"";""
"biotische Schäden";"629";"Efm";"";"";""
"davon Borkenkäfer";"621";"Efm";"";"";""
"sonstige";"8";"Efm";"";"";""
"abiotische Schäden";"11817";"Efm";"";"";""
"davon Sturm";"10039";"Efm";"";"";""
"sonstige";"1778";"Efm";"";"";""
"VORNUTZUNG";"425525";"Efm";"";"";""
"Nadelholz";"412774";"Efm";"";"";""
"Laubholz";"12751";"Efm";"";"";""
"FREMDWERBUNG";"1431507";"Efm";"";"";""
"Nadelholz";"1398960";"Efm";"";"";""
"Unternehmer aus dem EU-Ausland";"16318";"Efm";"";"";""
"Unternehmer aus dem Nicht-EU-Ausland";"21848";"Efm";"";"";""
"Laubholz";"32547";"Efm";"";"";""
"Unternehmer aus dem EU-Ausland";"0";"Efm";"";"";""
"Unternehmer aus dem Nicht-EU-Ausland";"0";"Efm";"";"";""
"HOLZVERWENDUNG (IN EFM O. R.)";"";"";"";"";""
"VERKAUF";"1816905";"Efm";"";"";""
"Nadelholz";"1772882";"Efm";"";"";""
"Sägerundholz";"1236632";"Efm";"";"";""
"Energieholz";"41602";"Efm";"";"";""
"Industrieholz";"494648";"Efm";"";"";""
"Laubholz";"44023";"Efm";"";"";""
"Sägerundholz";"10039";"Efm";"";"";""
"Energieholz";"13714";"Efm";"";"";""
"Industrieholz";"20270";"Efm";"";"";""
"EIGENVERBRAUCH";"22344";"Efm";"";"";""
"Nadelholz";"18390";"Efm";"";"";""
"Nutzholz";"2933";"Efm";"";"";""
"Energieholz";"15457";"Efm";"";"";""
"Laubholz";"3954";"Efm";"";"";""
"Nutzholz";"140";"Efm";"";"";""
"Energieholz";"3814";"Efm";"";"";""
"GEWÄHRTE HOLZBEZUGSRECHTE";"13627";"Efm";"";"";""
"Nadelholz";"12900";"Efm";"";"";""
"Laubholz";"727";"Efm";"";"";""
"BRINGUNGSWESEN (IN EFM O. R.)";"";"";"";"";""
"Bodenzug (*)";"757317";"Efm";"";"";""
"Seilgerät";"799918";"Efm";"";"";""
"Sortimentschlepper (Forwarder)";"250370";"Efm";"";"";""
"Sonstiges (inkl. Riesen)";"45271";"Efm";"";"";""
"NUTZUNG DURCH HARVESTER (IN EFM O. R.)";"";"";"";"";""
"Nutzung durch Harvester";"200523";"Efm";"";"";""
"FLÄCHEN DER NUTZUNG (IN HA)";"";"";"";"";""
"Kahlschlag insgesamt";"2038";"ha";"";"";""
"Bewilligte, vollzogene Fällung Kahlschlag";"521";"ha";"";"";""
"Freie Fällung Kahlschlag";"1517";"ha";"";"";""
"Einzelstammentnahme insgesamt";"12698";"ha";"";"";""
"Reduzierte Fläche Einzelst. insgesamt";"2559";"ha";"";"";""
"Bewilligte, vollzogene Fällung Einzelst.";"5";"ha";"";"";""
"Bewill., vollz. Fällung Einzelst. red. Fläche";"1";"ha";"";"";""
"Freie Fällung Einzelstammentnahme";"12692";"ha";"";"";""
"Freie Fällung Einzelst. reduzierte Fläche";"2558";"ha";"";"";""
