"HOLZEINSCHLAGSMELDUNG für das Jahr 2010"
"Voitsberg"
"Betriebe ab 200 ha (ohne ÖBf)"

"EINSCHLAG (IN EFM. O. R.)";"";"";"";"";""
"GESAMTEINSCHLAG";"55495";"Efm";"";"";""
"NADELHOLZ";"54989";"Efm";"";"";""
"LAUBHOLZ";"506";"Efm";"";"";""
"ROHHOLZ - stoffliche Nutzung";"53317";"Efm";"";"";""
"Nadelrohholz";"53004";"Efm";"";"";""
"Laubrohholz";"313";"Efm";"";"";""
"SÄGERUNDHOLZ";"39486";"Efm";"";"";""
"Sägerundholz > 20cm MDM.";"33710";"Efm";"";"";""
"Nadelholz";"33676";"Efm";"";"";""
"davon Fichte/Tanne";"29995";"Efm";"";"";""
"davon Kiefer";"266";"Efm";"";"";""
"davon Lärche";"1647";"Efm";"";"";""
"Laubholz";"34";"Efm";"";"";""
"davon Buche";"15";"Efm";"";"";""
"davon Eiche";"2";"Efm";"";"";""
"Sägeschwachholz";"5776";"Efm";"";"";""
"Nadelholz";"5776";"Efm";"";"";""
"Laubholz";"0";"Efm";"";"";""
"INDUSTRIERUNDHOLZ";"13831";"Efm";"";"";""
"Nadelholz";"13552";"Efm";"";"";""
"Laubholz";"279";"Efm";"";"";""
"ROHHOLZ - energetische Nutzung";"2178";"Efm";"";"";""
"Nadelholz";"1985";"Efm";"";"";""
"Brennholz";"267";"Efm";"";"";""
"Waldhackgut";"1718";"Efm";"";"";""
"Laubholz";"193";"Efm";"";"";""
"Brennholz";"173";"Efm";"";"";""
"Waldhackgut";"20";"Efm";"";"";""
"SCHADHOLZ";"18022";"Efm";"";"";""
"Nadelholz";"17786";"Efm";"";"";""
"biotische Schäden";"4789";"Efm";"";"";""
"davon Borkenkäfer";"3875";"Efm";"";"";""
"sonstige";"914";"Efm";"";"";""
"abiotische Schäden";"12997";"Efm";"";"";""
"davon Sturm";"11834";"Efm";"";"";""
"sonstige";"1163";"Efm";"";"";""
"Laubholz";"236";"Efm";"";"";""
"biotische Schäden";"0";"Efm";"";"";""
"davon Borkenkäfer";"0";"Efm";"";"";""
"sonstige";"0";"Efm";"";"";""
"abiotische Schäden";"236";"Efm";"";"";""
"davon Sturm";"236";"Efm";"";"";""
"sonstige";"0";"Efm";"";"";""
"VORNUTZUNG";"13272";"Efm";"";"";""
"Nadelholz";"13194";"Efm";"";"";""
"Laubholz";"78";"Efm";"";"";""
"FREMDWERBUNG";"44296";"Efm";"";"";""
"Nadelholz";"43805";"Efm";"";"";""
"Unternehmer aus dem EU-Ausland";"0";"Efm";"";"";""
"Unternehmer aus dem Nicht-EU-Ausland";"0";"Efm";"";"";""
"Laubholz";"491";"Efm";"";"";""
"Unternehmer aus dem EU-Ausland";"0";"Efm";"";"";""
"Unternehmer aus dem Nicht-EU-Ausland";"0";"Efm";"";"";""
"HOLZVERWENDUNG (IN EFM O. R.)";"";"";"";"";""
"VERKAUF";"54785";"Efm";"";"";""
"Nadelholz";"54401";"Efm";"";"";""
"Sägerundholz";"39396";"Efm";"";"";""
"Energieholz";"1545";"Efm";"";"";""
"Industrieholz";"13460";"Efm";"";"";""
"Laubholz";"384";"Efm";"";"";""
"Sägerundholz";"32";"Efm";"";"";""
"Energieholz";"73";"Efm";"";"";""
"Industrieholz";"279";"Efm";"";"";""
"EIGENVERBRAUCH";"674";"Efm";"";"";""
"Nadelholz";"582";"Efm";"";"";""
"Nutzholz";"66";"Efm";"";"";""
"Energieholz";"516";"Efm";"";"";""
"Laubholz";"92";"Efm";"";"";""
"Nutzholz";"2";"Efm";"";"";""
"Energieholz";"90";"Efm";"";"";""
"GEWÄHRTE HOLZBEZUGSRECHTE";"36";"Efm";"";"";""
"Nadelholz";"6";"Efm";"";"";""
"Laubholz";"30";"Efm";"";"";""
"BRINGUNGSWESEN (IN EFM O. R.)";"";"";"";"";""
"Bodenzug (*)";"28481";"Efm";"";"";""
"Seilgerät";"12868";"Efm";"";"";""
"Sortimentschlepper (Forwarder)";"13727";"Efm";"";"";""
"Sonstiges (inkl. Riesen)";"419";"Efm";"";"";""
"NUTZUNG DURCH HARVESTER (IN EFM O. R.)";"";"";"";"";""
"Nutzung durch Harvester";"5372";"Efm";"";"";""
"FLÄCHEN DER NUTZUNG (IN HA)";"";"";"";"";""
"Kahlschlag insgesamt";"22";"ha";"";"";""
"Bewilligte, vollzogene Fällung Kahlschlag";"0";"ha";"";"";""
"Freie Fällung Kahlschlag";"21";"ha";"";"";""
"Einzelstammentnahme insgesamt";"804";"ha";"";"";""
"Reduzierte Fläche Einzelst. insgesamt";"118";"ha";"";"";""
"Bewilligte, vollzogene Fällung Einzelst.";"0";"ha";"";"";""
"Bewill., vollz. Fällung Einzelst. red. Fläche";"0";"ha";"";"";""
"Freie Fällung Einzelstammentnahme";"804";"ha";"";"";""
"Freie Fällung Einzelst. reduzierte Fläche";"118";"ha";"";"";""
