"HOLZEINSCHLAGSMELDUNG für das Jahr 2010"
"Voitsberg"
"ÖBf"

"EINSCHLAG (IN EFM. O. R.)";"";"";"";"";""
"GESAMTEINSCHLAG";"7953";"Efm";"";"";""
"NADELHOLZ";"7843";"Efm";"";"";""
"LAUBHOLZ";"110";"Efm";"";"";""
"ROHHOLZ - stoffliche Nutzung";"7672";"Efm";"";"";""
"Nadelrohholz";"7668";"Efm";"";"";""
"Laubrohholz";"4";"Efm";"";"";""
"SÄGERUNDHOLZ";"3294";"Efm";"";"";""
"Sägerundholz > 20cm MDM.";"2818";"Efm";"";"";""
"Nadelholz";"2818";"Efm";"";"";""
"davon Fichte/Tanne";"2783";"Efm";"";"";""
"davon Kiefer";"0";"Efm";"";"";""
"davon Lärche";"35";"Efm";"";"";""
"Laubholz";"0";"Efm";"";"";""
"davon Buche";"0";"Efm";"";"";""
"davon Eiche";"0";"Efm";"";"";""
"Sägeschwachholz";"476";"Efm";"";"";""
"Nadelholz";"476";"Efm";"";"";""
"Laubholz";"0";"Efm";"";"";""
"INDUSTRIERUNDHOLZ";"4378";"Efm";"";"";""
"Nadelholz";"4374";"Efm";"";"";""
"Laubholz";"4";"Efm";"";"";""
"ROHHOLZ - energetische Nutzung";"281";"Efm";"";"";""
"Nadelholz";"175";"Efm";"";"";""
"Brennholz";"175";"Efm";"";"";""
"Waldhackgut";"0";"Efm";"";"";""
"Laubholz";"106";"Efm";"";"";""
"Brennholz";"106";"Efm";"";"";""
"Waldhackgut";"0";"Efm";"";"";""
"SCHADHOLZ";"5413";"Efm";"";"";""
"Nadelholz";"5305";"Efm";"";"";""
"biotische Schäden";"541";"Efm";"";"";""
"davon Borkenkäfer";"541";"Efm";"";"";""
"sonstige";"0";"Efm";"";"";""
"abiotische Schäden";"4764";"Efm";"";"";""
"davon Sturm";"2677";"Efm";"";"";""
"sonstige";"2088";"Efm";"";"";""
"Laubholz";"108";"Efm";"";"";""
"biotische Schäden";"0";"Efm";"";"";""
"davon Borkenkäfer";"0";"Efm";"";"";""
"sonstige";"0";"Efm";"";"";""
"abiotische Schäden";"108";"Efm";"";"";""
"davon Sturm";"108";"Efm";"";"";""
"sonstige";"0";"Efm";"";"";""
"VORNUTZUNG";"3823";"Efm";"";"";""
"Nadelholz";"3819";"Efm";"";"";""
"Laubholz";"3";"Efm";"";"";""
"FREMDWERBUNG";"4497";"Efm";"";"";""
"Nadelholz";"4453";"Efm";"";"";""
"Unternehmer aus dem EU-Ausland";"13694";"Efm";"";"";""
"Unternehmer aus dem Nicht-EU-Ausland";"227";"Efm";"";"";""
"Laubholz";"44";"Efm";"";"";""
"Unternehmer aus dem EU-Ausland";"706";"Efm";"";"";""
"Unternehmer aus dem Nicht-EU-Ausland";"10";"Efm";"";"";""
"HOLZVERWENDUNG (IN EFM O. R.)";"";"";"";"";""
"VERKAUF";"7960";"Efm";"";"";""
"Nadelholz";"7850";"Efm";"";"";""
"Sägerundholz";"3288";"Efm";"";"";""
"Energieholz";"189";"Efm";"";"";""
"Industrieholz";"4374";"Efm";"";"";""
"Laubholz";"110";"Efm";"";"";""
"Sägerundholz";"0";"Efm";"";"";""
"Energieholz";"106";"Efm";"";"";""
"Industrieholz";"4";"Efm";"";"";""
"EIGENVERBRAUCH";"0";"Efm";"";"";""
"Nadelholz";"0";"Efm";"";"";""
"Nutzholz";"0";"Efm";"";"";""
"Energieholz";"0";"Efm";"";"";""
"Laubholz";"0";"Efm";"";"";""
"Nutzholz";"0";"Efm";"";"";""
"Energieholz";"0";"Efm";"";"";""
"GEWÄHRTE HOLZBEZUGSRECHTE";"0";"Efm";"";"";""
"Nadelholz";"0";"Efm";"";"";""
"Laubholz";"0";"Efm";"";"";""
"BRINGUNGSWESEN (IN EFM O. R.)";"";"";"";"";""
"Bodenzug (*)";"2135";"Efm";"";"";""
"Seilgerät";"1814";"Efm";"";"";""
"Sortimentschlepper (Forwarder)";"3983";"Efm";"";"";""
"Sonstiges (inkl. Riesen)";"22";"Efm";"";"";""
"NUTZUNG DURCH HARVESTER (IN EFM O. R.)";"";"";"";"";""
"Nutzung durch Harvester";"0";"Efm";"";"";""
"FLÄCHEN DER NUTZUNG (IN HA)";"";"";"";"";""
"Kahlschlag insgesamt";"2";"ha";"";"";""
"Bewilligte, vollzogene Fällung Kahlschlag";"0";"ha";"";"";""
"Freie Fällung Kahlschlag";"2";"ha";"";"";""
"Einzelstammentnahme insgesamt";"1165";"ha";"";"";""
"Reduzierte Fläche Einzelst. insgesamt";"14";"ha";"";"";""
"Bewilligte, vollzogene Fällung Einzelst.";"0";"ha";"";"";""
"Bewill., vollz. Fällung Einzelst. red. Fläche";"0";"ha";"";"";""
"Freie Fällung Einzelstammentnahme";"1165";"ha";"";"";""
"Freie Fällung Einzelst. reduzierte Fläche";"14";"ha";"";"";""
