"HOLZEINSCHLAGSMELDUNG für das Jahr 2010"
"Weiz"
"Betriebe ab 200 ha (ohne ÖBf)"

"EINSCHLAG (IN EFM. O. R.)";"";"";"";"";""
"GESAMTEINSCHLAG";"59165";"Efm";"";"";""
"NADELHOLZ";"58223";"Efm";"";"";""
"LAUBHOLZ";"942";"Efm";"";"";""
"ROHHOLZ - stoffliche Nutzung";"57084";"Efm";"";"";""
"Nadelrohholz";"56756";"Efm";"";"";""
"Laubrohholz";"328";"Efm";"";"";""
"SÄGERUNDHOLZ";"39588";"Efm";"";"";""
"Sägerundholz > 20cm MDM.";"33181";"Efm";"";"";""
"Nadelholz";"32937";"Efm";"";"";""
"davon Fichte/Tanne";"29580";"Efm";"";"";""
"davon Kiefer";"975";"Efm";"";"";""
"davon Lärche";"2381";"Efm";"";"";""
"Laubholz";"244";"Efm";"";"";""
"davon Buche";"244";"Efm";"";"";""
"davon Eiche";"0";"Efm";"";"";""
"Sägeschwachholz";"6407";"Efm";"";"";""
"Nadelholz";"6407";"Efm";"";"";""
"Laubholz";"0";"Efm";"";"";""
"INDUSTRIERUNDHOLZ";"17496";"Efm";"";"";""
"Nadelholz";"17412";"Efm";"";"";""
"Laubholz";"84";"Efm";"";"";""
"ROHHOLZ - energetische Nutzung";"2081";"Efm";"";"";""
"Nadelholz";"1467";"Efm";"";"";""
"Brennholz";"1160";"Efm";"";"";""
"Waldhackgut";"307";"Efm";"";"";""
"Laubholz";"614";"Efm";"";"";""
"Brennholz";"612";"Efm";"";"";""
"Waldhackgut";"2";"Efm";"";"";""
"SCHADHOLZ";"21009";"Efm";"";"";""
"Nadelholz";"20927";"Efm";"";"";""
"biotische Schäden";"7422";"Efm";"";"";""
"davon Borkenkäfer";"5589";"Efm";"";"";""
"sonstige";"1833";"Efm";"";"";""
"abiotische Schäden";"13505";"Efm";"";"";""
"davon Sturm";"11524";"Efm";"";"";""
"sonstige";"1981";"Efm";"";"";""
"Laubholz";"82";"Efm";"";"";""
"biotische Schäden";"0";"Efm";"";"";""
"davon Borkenkäfer";"0";"Efm";"";"";""
"sonstige";"0";"Efm";"";"";""
"abiotische Schäden";"82";"Efm";"";"";""
"davon Sturm";"82";"Efm";"";"";""
"sonstige";"0";"Efm";"";"";""
"VORNUTZUNG";"13171";"Efm";"";"";""
"Nadelholz";"13163";"Efm";"";"";""
"Laubholz";"8";"Efm";"";"";""
"FREMDWERBUNG";"50889";"Efm";"";"";""
"Nadelholz";"49984";"Efm";"";"";""
"Unternehmer aus dem EU-Ausland";"0";"Efm";"";"";""
"Unternehmer aus dem Nicht-EU-Ausland";"0";"Efm";"";"";""
"Laubholz";"905";"Efm";"";"";""
"Unternehmer aus dem EU-Ausland";"0";"Efm";"";"";""
"Unternehmer aus dem Nicht-EU-Ausland";"0";"Efm";"";"";""
"HOLZVERWENDUNG (IN EFM O. R.)";"";"";"";"";""
"VERKAUF";"58479";"Efm";"";"";""
"Nadelholz";"57695";"Efm";"";"";""
"Sägerundholz";"39314";"Efm";"";"";""
"Energieholz";"969";"Efm";"";"";""
"Industrieholz";"17412";"Efm";"";"";""
"Laubholz";"784";"Efm";"";"";""
"Sägerundholz";"244";"Efm";"";"";""
"Energieholz";"456";"Efm";"";"";""
"Industrieholz";"84";"Efm";"";"";""
"EIGENVERBRAUCH";"674";"Efm";"";"";""
"Nadelholz";"528";"Efm";"";"";""
"Nutzholz";"30";"Efm";"";"";""
"Energieholz";"498";"Efm";"";"";""
"Laubholz";"146";"Efm";"";"";""
"Nutzholz";"0";"Efm";"";"";""
"Energieholz";"146";"Efm";"";"";""
"GEWÄHRTE HOLZBEZUGSRECHTE";"12";"Efm";"";"";""
"Nadelholz";"0";"Efm";"";"";""
"Laubholz";"12";"Efm";"";"";""
"BRINGUNGSWESEN (IN EFM O. R.)";"";"";"";"";""
"Bodenzug (*)";"19231";"Efm";"";"";""
"Seilgerät";"25608";"Efm";"";"";""
"Sortimentschlepper (Forwarder)";"14040";"Efm";"";"";""
"Sonstiges (inkl. Riesen)";"286";"Efm";"";"";""
"NUTZUNG DURCH HARVESTER (IN EFM O. R.)";"";"";"";"";""
"Nutzung durch Harvester";"11020";"Efm";"";"";""
"FLÄCHEN DER NUTZUNG (IN HA)";"";"";"";"";""
"Kahlschlag insgesamt";"35";"ha";"";"";""
"Bewilligte, vollzogene Fällung Kahlschlag";"10";"ha";"";"";""
"Freie Fällung Kahlschlag";"25";"ha";"";"";""
"Einzelstammentnahme insgesamt";"2261";"ha";"";"";""
"Reduzierte Fläche Einzelst. insgesamt";"118";"ha";"";"";""
"Bewilligte, vollzogene Fällung Einzelst.";"0";"ha";"";"";""
"Bewill., vollz. Fällung Einzelst. red. Fläche";"0";"ha";"";"";""
"Freie Fällung Einzelstammentnahme";"2261";"ha";"";"";""
"Freie Fällung Einzelst. reduzierte Fläche";"118";"ha";"";"";""
