"HOLZEINSCHLAGSMELDUNG für das Jahr 2011"
"Deutschlandsberg"
"Betriebe ab 200 ha (ohne ÖBf)"

"EINSCHLAG (IN EFM. O. R.)";"";"";"";"";""
"GESAMTEINSCHLAG";"75400";"Efm";"";"";""
"NADELHOLZ";"71995";"Efm";"";"";""
"LAUBHOLZ";"3405";"Efm";"";"";""
"ROHHOLZ - stoffliche Nutzung";"68799";"Efm";"";"";""
"Nadelrohholz";"67292";"Efm";"";"";""
"Laubrohholz";"1507";"Efm";"";"";""
"SÄGERUNDHOLZ";"50914";"Efm";"";"";""
"Sägerundholz > 20cm MDM.";"42439";"Efm";"";"";""
"Nadelholz";"41564";"Efm";"";"";""
"davon Fichte/Tanne";"40114";"Efm";"";"";""
"davon Kiefer";"265";"Efm";"";"";""
"davon Lärche";"1183";"Efm";"";"";""
"Laubholz";"875";"Efm";"";"";""
"davon Buche";"254";"Efm";"";"";""
"davon Eiche";"333";"Efm";"";"";""
"Sägeschwachholz";"8475";"Efm";"";"";""
"Nadelholz";"8475";"Efm";"";"";""
"Laubholz";"0";"Efm";"";"";""
"INDUSTRIERUNDHOLZ";"17885";"Efm";"";"";""
"Nadelholz";"17253";"Efm";"";"";""
"Laubholz";"632";"Efm";"";"";""
"ROHHOLZ - energetische Nutzung";"6601";"Efm";"";"";""
"Nadelholz";"4703";"Efm";"";"";""
"Brennholz";"737";"Efm";"";"";""
"Waldhackgut";"3966";"Efm";"";"";""
"Laubholz";"1898";"Efm";"";"";""
"Brennholz";"1898";"Efm";"";"";""
"Waldhackgut";"0";"Efm";"";"";""
"SCHADHOLZ";"11375";"Efm";"";"";""
"Nadelholz";"10854";"Efm";"";"";""
"biotische Schäden";"3411";"Efm";"";"";""
"davon Borkenkäfer";"3411";"Efm";"";"";""
"sonstige";"0";"Efm";"";"";""
"abiotische Schäden";"7443";"Efm";"";"";""
"davon Sturm";"3180";"Efm";"";"";""
"sonstige";"4263";"Efm";"";"";""
"Laubholz";"521";"Efm";"";"";""
"biotische Schäden";"10";"Efm";"";"";""
"davon Borkenkäfer";"10";"Efm";"";"";""
"sonstige";"0";"Efm";"";"";""
"abiotische Schäden";"511";"Efm";"";"";""
"davon Sturm";"81";"Efm";"";"";""
"sonstige";"430";"Efm";"";"";""
"VORNUTZUNG";"30017";"Efm";"";"";""
"Nadelholz";"28526";"Efm";"";"";""
"Laubholz";"1491";"Efm";"";"";""
"FREMDWERBUNG";"48601";"Efm";"";"";""
"Nadelholz";"45757";"Efm";"";"";""
"Unternehmer aus dem EU-Ausland";"0";"Efm";"";"";""
"Unternehmer aus dem Nicht-EU-Ausland";"0";"Efm";"";"";""
"Laubholz";"2844";"Efm";"";"";""
"Unternehmer aus dem EU-Ausland";"0";"Efm";"";"";""
"Unternehmer aus dem Nicht-EU-Ausland";"0";"Efm";"";"";""
"HOLZVERWENDUNG (IN EFM O. R.)";"";"";"";"";""
"VERKAUF";"73381";"Efm";"";"";""
"Nadelholz";"71436";"Efm";"";"";""
"Sägerundholz";"50039";"Efm";"";"";""
"Energieholz";"4144";"Efm";"";"";""
"Industrieholz";"17253";"Efm";"";"";""
"Laubholz";"1945";"Efm";"";"";""
"Sägerundholz";"782";"Efm";"";"";""
"Energieholz";"531";"Efm";"";"";""
"Industrieholz";"632";"Efm";"";"";""
"EIGENVERBRAUCH";"2019";"Efm";"";"";""
"Nadelholz";"559";"Efm";"";"";""
"Nutzholz";"0";"Efm";"";"";""
"Energieholz";"559";"Efm";"";"";""
"Laubholz";"1460";"Efm";"";"";""
"Nutzholz";"0";"Efm";"";"";""
"Energieholz";"1460";"Efm";"";"";""
"GEWÄHRTE HOLZBEZUGSRECHTE";"0";"Efm";"";"";""
"Nadelholz";"0";"Efm";"";"";""
"Laubholz";"0";"Efm";"";"";""
"BRINGUNGSWESEN (IN EFM O. R.)";"";"";"";"";""
"Bodenzug (*)";"28067";"Efm";"";"";""
"Seilgerät";"18994";"Efm";"";"";""
"Sortimentschlepper (Forwarder)";"28201";"Efm";"";"";""
"Sonstiges (inkl. Riesen)";"125";"Efm";"";"";""
"NUTZUNG DURCH HARVESTER (IN EFM O. R.)";"";"";"";"";""
"Nutzung durch Harvester";"25978";"Efm";"";"";""
"FLÄCHEN DER NUTZUNG (IN HA)";"";"";"";"";""
"Kahlschlag insgesamt";"49";"ha";"";"";""
"Bewilligte, vollzogene Fällung Kahlschlag";"14";"ha";"";"";""
"Freie Fällung Kahlschlag";"35";"ha";"";"";""
"Einzelstammentnahme insgesamt";"642";"ha";"";"";""
"Reduzierte Fläche Einzelst. insgesamt";"132";"ha";"";"";""
"Bewilligte, vollzogene Fällung Einzelst.";"0";"ha";"";"";""
"Bewill., vollz. Fällung Einzelst. red. Fläche";"0";"ha";"";"";""
"Freie Fällung Einzelstammentnahme";"642";"ha";"";"";""
"Freie Fällung Einzelst. reduzierte Fläche";"132";"ha";"";"";""
