"HOLZEINSCHLAGSMELDUNG für das Jahr 2011"
"Deutschlandsberg"
"INSGESAMT"

"EINSCHLAG (IN EFM. O. R.)";"";"";"";"";""
"GESAMTEINSCHLAG";"265853";"Efm";"";"";""
"NADELHOLZ";"232047";"Efm";"";"";""
"LAUBHOLZ";"33806";"Efm";"";"";""
"ROHHOLZ - stoffliche Nutzung";"184198";"Efm";"";"";""
"Nadelrohholz";"180594";"Efm";"";"";""
"Laubrohholz";"3604";"Efm";"";"";""
"SÄGERUNDHOLZ";"140505";"Efm";"";"";""
"Sägerundholz > 20cm MDM.";"121329";"Efm";"";"";""
"Nadelholz";"120109";"Efm";"";"";""
"davon Fichte/Tanne";"111638";"Efm";"";"";""
"davon Kiefer";"5608";"Efm";"";"";""
"davon Lärche";"2861";"Efm";"";"";""
"Laubholz";"1220";"Efm";"";"";""
"davon Buche";"436";"Efm";"";"";""
"davon Eiche";"496";"Efm";"";"";""
"Sägeschwachholz";"19176";"Efm";"";"";""
"Nadelholz";"19176";"Efm";"";"";""
"Laubholz";"0";"Efm";"";"";""
"INDUSTRIERUNDHOLZ";"43694";"Efm";"";"";""
"Nadelholz";"41310";"Efm";"";"";""
"Laubholz";"2384";"Efm";"";"";""
"ROHHOLZ - energetische Nutzung";"81655";"Efm";"";"";""
"Nadelholz";"51453";"Efm";"";"";""
"Brennholz";"14704";"Efm";"";"";""
"Waldhackgut";"36749";"Efm";"";"";""
"Laubholz";"30202";"Efm";"";"";""
"Brennholz";"27516";"Efm";"";"";""
"Waldhackgut";"2685";"Efm";"";"";""
"SCHADHOLZ";"27134";"Efm";"";"";""
"Nadelholz";"23477";"Efm";"";"";""
"biotische Schäden";"13688";"Efm";"";"";""
"davon Borkenkäfer";"13688";"Efm";"";"";""
"sonstige";"0";"Efm";"";"";""
"abiotische Schäden";"9788";"Efm";"";"";""
"davon Sturm";"4565";"Efm";"";"";""
"sonstige";"5223";"Efm";"";"";""
"Laubholz";"3657";"Efm";"";"";""
"biotische Schäden";"10";"Efm";"";"";""
"davon Borkenkäfer";"10";"Efm";"";"";""
"sonstige";"0";"Efm";"";"";""
"abiotische Schäden";"3647";"Efm";"";"";""
"davon Sturm";"3217";"Efm";"";"";""
"sonstige";"430";"Efm";"";"";""
"VORNUTZUNG";"177231";"Efm";"";"";""
"Nadelholz";"152512";"Efm";"";"";""
"Laubholz";"24719";"Efm";"";"";""
"FREMDWERBUNG";"126983";"Efm";"";"";""
"Nadelholz";"120255";"Efm";"";"";""
"Unternehmer aus dem EU-Ausland";"0";"Efm";"";"";""
"Unternehmer aus dem Nicht-EU-Ausland";"0";"Efm";"";"";""
"Laubholz";"6728";"Efm";"";"";""
"Unternehmer aus dem EU-Ausland";"0";"Efm";"";"";""
"Unternehmer aus dem Nicht-EU-Ausland";"0";"Efm";"";"";""
"HOLZVERWENDUNG (IN EFM O. R.)";"";"";"";"";""
"VERKAUF";"220797";"Efm";"";"";""
"Nadelholz";"215046";"Efm";"";"";""
"Sägerundholz";"141221";"Efm";"";"";""
"Energieholz";"34936";"Efm";"";"";""
"Industrieholz";"38889";"Efm";"";"";""
"Laubholz";"5751";"Efm";"";"";""
"Sägerundholz";"1127";"Efm";"";"";""
"Energieholz";"2240";"Efm";"";"";""
"Industrieholz";"2384";"Efm";"";"";""
"EIGENVERBRAUCH";"45056";"Efm";"";"";""
"Nadelholz";"17002";"Efm";"";"";""
"Nutzholz";"544";"Efm";"";"";""
"Energieholz";"16457";"Efm";"";"";""
"Laubholz";"28054";"Efm";"";"";""
"Nutzholz";"816";"Efm";"";"";""
"Energieholz";"27238";"Efm";"";"";""
"GEWÄHRTE HOLZBEZUGSRECHTE";"0";"Efm";"";"";""
"Nadelholz";"0";"Efm";"";"";""
"Laubholz";"0";"Efm";"";"";""
"BRINGUNGSWESEN (IN EFM O. R.)";"";"";"";"";""
"Bodenzug (*)";"137299";"Efm";"";"";""
"Seilgerät";"22382";"Efm";"";"";""
"Sortimentschlepper (Forwarder)";"105946";"Efm";"";"";""
"Sonstiges (inkl. Riesen)";"125";"Efm";"";"";""
"NUTZUNG DURCH HARVESTER (IN EFM O. R.)";"";"";"";"";""
"Nutzung durch Harvester";"93655";"Efm";"";"";""
"FLÄCHEN DER NUTZUNG (IN HA)";"";"";"";"";""
"Kahlschlag insgesamt";"107";"ha";"";"";""
"Bewilligte, vollzogene Fällung Kahlschlag";"23";"ha";"";"";""
"Freie Fällung Kahlschlag";"83";"ha";"";"";""
"Einzelstammentnahme insgesamt";"5544";"ha";"";"";""
"Reduzierte Fläche Einzelst. insgesamt";"822";"ha";"";"";""
"Bewilligte, vollzogene Fällung Einzelst.";"0";"ha";"";"";""
"Bewill., vollz. Fällung Einzelst. red. Fläche";"0";"ha";"";"";""
"Freie Fällung Einzelstammentnahme";"5544";"ha";"";"";""
"Freie Fällung Einzelst. reduzierte Fläche";"822";"ha";"";"";""
