"HOLZEINSCHLAGSMELDUNG für das Jahr 2011"
"Fürstenfeld"
"INSGESAMT"

"EINSCHLAG (IN EFM. O. R.)";"";"";"";"";""
"GESAMTEINSCHLAG";"63047";"Efm";"";"";""
"NADELHOLZ";"47136";"Efm";"";"";""
"LAUBHOLZ";"15911";"Efm";"";"";""
"ROHHOLZ - stoffliche Nutzung";"25089";"Efm";"";"";""
"Nadelrohholz";"23924";"Efm";"";"";""
"Laubrohholz";"1166";"Efm";"";"";""
"SÄGERUNDHOLZ";"20584";"Efm";"";"";""
"Sägerundholz > 20cm MDM.";"18709";"Efm";"";"";""
"Nadelholz";"17543";"Efm";"";"";""
"davon Fichte/Tanne";"11859";"Efm";"";"";""
"davon Kiefer";"5671";"Efm";"";"";""
"davon Lärche";"13";"Efm";"";"";""
"Laubholz";"1166";"Efm";"";"";""
"davon Buche";"456";"Efm";"";"";""
"davon Eiche";"710";"Efm";"";"";""
"Sägeschwachholz";"1875";"Efm";"";"";""
"Nadelholz";"1875";"Efm";"";"";""
"Laubholz";"0";"Efm";"";"";""
"INDUSTRIERUNDHOLZ";"4505";"Efm";"";"";""
"Nadelholz";"4505";"Efm";"";"";""
"Laubholz";"0";"Efm";"";"";""
"ROHHOLZ - energetische Nutzung";"37957";"Efm";"";"";""
"Nadelholz";"23213";"Efm";"";"";""
"Brennholz";"14759";"Efm";"";"";""
"Waldhackgut";"8454";"Efm";"";"";""
"Laubholz";"14745";"Efm";"";"";""
"Brennholz";"10540";"Efm";"";"";""
"Waldhackgut";"4205";"Efm";"";"";""
"SCHADHOLZ";"18211";"Efm";"";"";""
"Nadelholz";"18103";"Efm";"";"";""
"biotische Schäden";"4326";"Efm";"";"";""
"davon Borkenkäfer";"4326";"Efm";"";"";""
"sonstige";"0";"Efm";"";"";""
"abiotische Schäden";"13777";"Efm";"";"";""
"davon Sturm";"10031";"Efm";"";"";""
"sonstige";"3745";"Efm";"";"";""
"Laubholz";"108";"Efm";"";"";""
"biotische Schäden";"0";"Efm";"";"";""
"davon Borkenkäfer";"0";"Efm";"";"";""
"sonstige";"0";"Efm";"";"";""
"abiotische Schäden";"108";"Efm";"";"";""
"davon Sturm";"108";"Efm";"";"";""
"sonstige";"0";"Efm";"";"";""
"VORNUTZUNG";"38029";"Efm";"";"";""
"Nadelholz";"28728";"Efm";"";"";""
"Laubholz";"9301";"Efm";"";"";""
"FREMDWERBUNG";"6172";"Efm";"";"";""
"Nadelholz";"5301";"Efm";"";"";""
"Unternehmer aus dem EU-Ausland";"0";"Efm";"";"";""
"Unternehmer aus dem Nicht-EU-Ausland";"70";"Efm";"";"";""
"Laubholz";"871";"Efm";"";"";""
"Unternehmer aus dem EU-Ausland";"0";"Efm";"";"";""
"Unternehmer aus dem Nicht-EU-Ausland";"0";"Efm";"";"";""
"HOLZVERWENDUNG (IN EFM O. R.)";"";"";"";"";""
"VERKAUF";"30245";"Efm";"";"";""
"Nadelholz";"26889";"Efm";"";"";""
"Sägerundholz";"19380";"Efm";"";"";""
"Energieholz";"3162";"Efm";"";"";""
"Industrieholz";"4347";"Efm";"";"";""
"Laubholz";"3356";"Efm";"";"";""
"Sägerundholz";"1090";"Efm";"";"";""
"Energieholz";"2265";"Efm";"";"";""
"Industrieholz";"0";"Efm";"";"";""
"EIGENVERBRAUCH";"32802";"Efm";"";"";""
"Nadelholz";"20247";"Efm";"";"";""
"Nutzholz";"197";"Efm";"";"";""
"Energieholz";"20050";"Efm";"";"";""
"Laubholz";"12555";"Efm";"";"";""
"Nutzholz";"75";"Efm";"";"";""
"Energieholz";"12480";"Efm";"";"";""
"GEWÄHRTE HOLZBEZUGSRECHTE";"0";"Efm";"";"";""
"Nadelholz";"0";"Efm";"";"";""
"Laubholz";"0";"Efm";"";"";""
"BRINGUNGSWESEN (IN EFM O. R.)";"";"";"";"";""
"Bodenzug (*)";"29551";"Efm";"";"";""
"Seilgerät";"0";"Efm";"";"";""
"Sortimentschlepper (Forwarder)";"33473";"Efm";"";"";""
"Sonstiges (inkl. Riesen)";"0";"Efm";"";"";""
"NUTZUNG DURCH HARVESTER (IN EFM O. R.)";"";"";"";"";""
"Nutzung durch Harvester";"6351";"Efm";"";"";""
"FLÄCHEN DER NUTZUNG (IN HA)";"";"";"";"";""
"Kahlschlag insgesamt";"35";"ha";"";"";""
"Bewilligte, vollzogene Fällung Kahlschlag";"0";"ha";"";"";""
"Freie Fällung Kahlschlag";"35";"ha";"";"";""
"Einzelstammentnahme insgesamt";"2878";"ha";"";"";""
"Reduzierte Fläche Einzelst. insgesamt";"134";"ha";"";"";""
"Bewilligte, vollzogene Fällung Einzelst.";"0";"ha";"";"";""
"Bewill., vollz. Fällung Einzelst. red. Fläche";"0";"ha";"";"";""
"Freie Fällung Einzelstammentnahme";"2878";"ha";"";"";""
"Freie Fällung Einzelst. reduzierte Fläche";"134";"ha";"";"";""
