"HOLZEINSCHLAGSMELDUNG für das Jahr 2011"
"Judenburg"
"Betriebe ab 200 ha (ohne ÖBf)"

"EINSCHLAG (IN EFM. O. R.)";"";"";"";"";""
"GESAMTEINSCHLAG";"116632";"Efm";"";"";""
"NADELHOLZ";"116528";"Efm";"";"";""
"LAUBHOLZ";"104";"Efm";"";"";""
"ROHHOLZ - stoffliche Nutzung";"111642";"Efm";"";"";""
"Nadelrohholz";"111642";"Efm";"";"";""
"Laubrohholz";"0";"Efm";"";"";""
"SÄGERUNDHOLZ";"75528";"Efm";"";"";""
"Sägerundholz > 20cm MDM.";"66537";"Efm";"";"";""
"Nadelholz";"66537";"Efm";"";"";""
"davon Fichte/Tanne";"61840";"Efm";"";"";""
"davon Kiefer";"440";"Efm";"";"";""
"davon Lärche";"4256";"Efm";"";"";""
"Laubholz";"0";"Efm";"";"";""
"davon Buche";"0";"Efm";"";"";""
"davon Eiche";"0";"Efm";"";"";""
"Sägeschwachholz";"8991";"Efm";"";"";""
"Nadelholz";"8991";"Efm";"";"";""
"Laubholz";"0";"Efm";"";"";""
"INDUSTRIERUNDHOLZ";"36114";"Efm";"";"";""
"Nadelholz";"36114";"Efm";"";"";""
"Laubholz";"0";"Efm";"";"";""
"ROHHOLZ - energetische Nutzung";"4990";"Efm";"";"";""
"Nadelholz";"4886";"Efm";"";"";""
"Brennholz";"1055";"Efm";"";"";""
"Waldhackgut";"3831";"Efm";"";"";""
"Laubholz";"104";"Efm";"";"";""
"Brennholz";"46";"Efm";"";"";""
"Waldhackgut";"58";"Efm";"";"";""
"SCHADHOLZ";"35026";"Efm";"";"";""
"Nadelholz";"35022";"Efm";"";"";""
"biotische Schäden";"22606";"Efm";"";"";""
"davon Borkenkäfer";"19569";"Efm";"";"";""
"sonstige";"3037";"Efm";"";"";""
"abiotische Schäden";"12416";"Efm";"";"";""
"davon Sturm";"6567";"Efm";"";"";""
"sonstige";"5849";"Efm";"";"";""
"Laubholz";"4";"Efm";"";"";""
"biotische Schäden";"0";"Efm";"";"";""
"davon Borkenkäfer";"0";"Efm";"";"";""
"sonstige";"0";"Efm";"";"";""
"abiotische Schäden";"4";"Efm";"";"";""
"davon Sturm";"4";"Efm";"";"";""
"sonstige";"0";"Efm";"";"";""
"VORNUTZUNG";"42100";"Efm";"";"";""
"Nadelholz";"42095";"Efm";"";"";""
"Laubholz";"5";"Efm";"";"";""
"FREMDWERBUNG";"88669";"Efm";"";"";""
"Nadelholz";"88663";"Efm";"";"";""
"Unternehmer aus dem EU-Ausland";"0";"Efm";"";"";""
"Unternehmer aus dem Nicht-EU-Ausland";"0";"Efm";"";"";""
"Laubholz";"6";"Efm";"";"";""
"Unternehmer aus dem EU-Ausland";"0";"Efm";"";"";""
"Unternehmer aus dem Nicht-EU-Ausland";"0";"Efm";"";"";""
"HOLZVERWENDUNG (IN EFM O. R.)";"";"";"";"";""
"VERKAUF";"114433";"Efm";"";"";""
"Nadelholz";"114417";"Efm";"";"";""
"Sägerundholz";"75430";"Efm";"";"";""
"Energieholz";"2878";"Efm";"";"";""
"Industrieholz";"36109";"Efm";"";"";""
"Laubholz";"16";"Efm";"";"";""
"Sägerundholz";"0";"Efm";"";"";""
"Energieholz";"16";"Efm";"";"";""
"Industrieholz";"0";"Efm";"";"";""
"EIGENVERBRAUCH";"1336";"Efm";"";"";""
"Nadelholz";"1248";"Efm";"";"";""
"Nutzholz";"103";"Efm";"";"";""
"Energieholz";"1145";"Efm";"";"";""
"Laubholz";"88";"Efm";"";"";""
"Nutzholz";"0";"Efm";"";"";""
"Energieholz";"88";"Efm";"";"";""
"GEWÄHRTE HOLZBEZUGSRECHTE";"863";"Efm";"";"";""
"Nadelholz";"863";"Efm";"";"";""
"Laubholz";"0";"Efm";"";"";""
"BRINGUNGSWESEN (IN EFM O. R.)";"";"";"";"";""
"Bodenzug (*)";"56254";"Efm";"";"";""
"Seilgerät";"40863";"Efm";"";"";""
"Sortimentschlepper (Forwarder)";"15251";"Efm";"";"";""
"Sonstiges (inkl. Riesen)";"4236";"Efm";"";"";""
"NUTZUNG DURCH HARVESTER (IN EFM O. R.)";"";"";"";"";""
"Nutzung durch Harvester";"14494";"Efm";"";"";""
"FLÄCHEN DER NUTZUNG (IN HA)";"";"";"";"";""
"Kahlschlag insgesamt";"115";"ha";"";"";""
"Bewilligte, vollzogene Fällung Kahlschlag";"31";"ha";"";"";""
"Freie Fällung Kahlschlag";"84";"ha";"";"";""
"Einzelstammentnahme insgesamt";"570";"ha";"";"";""
"Reduzierte Fläche Einzelst. insgesamt";"189";"ha";"";"";""
"Bewilligte, vollzogene Fällung Einzelst.";"0";"ha";"";"";""
"Bewill., vollz. Fällung Einzelst. red. Fläche";"0";"ha";"";"";""
"Freie Fällung Einzelstammentnahme";"570";"ha";"";"";""
"Freie Fällung Einzelst. reduzierte Fläche";"189";"ha";"";"";""
