"HOLZEINSCHLAGSMELDUNG für das Jahr 2011"
"Judenburg"
"INSGESAMT"

"EINSCHLAG (IN EFM. O. R.)";"";"";"";"";""
"GESAMTEINSCHLAG";"384865";"Efm";"";"";""
"NADELHOLZ";"379716";"Efm";"";"";""
"LAUBHOLZ";"5149";"Efm";"";"";""
"ROHHOLZ - stoffliche Nutzung";"349983";"Efm";"";"";""
"Nadelrohholz";"348843";"Efm";"";"";""
"Laubrohholz";"1140";"Efm";"";"";""
"SÄGERUNDHOLZ";"238736";"Efm";"";"";""
"Sägerundholz > 20cm MDM.";"200989";"Efm";"";"";""
"Nadelholz";"200989";"Efm";"";"";""
"davon Fichte/Tanne";"177494";"Efm";"";"";""
"davon Kiefer";"440";"Efm";"";"";""
"davon Lärche";"22614";"Efm";"";"";""
"Laubholz";"0";"Efm";"";"";""
"davon Buche";"0";"Efm";"";"";""
"davon Eiche";"0";"Efm";"";"";""
"Sägeschwachholz";"37748";"Efm";"";"";""
"Nadelholz";"37748";"Efm";"";"";""
"Laubholz";"0";"Efm";"";"";""
"INDUSTRIERUNDHOLZ";"111247";"Efm";"";"";""
"Nadelholz";"110107";"Efm";"";"";""
"Laubholz";"1140";"Efm";"";"";""
"ROHHOLZ - energetische Nutzung";"34881";"Efm";"";"";""
"Nadelholz";"30873";"Efm";"";"";""
"Brennholz";"19722";"Efm";"";"";""
"Waldhackgut";"11151";"Efm";"";"";""
"Laubholz";"4008";"Efm";"";"";""
"Brennholz";"3551";"Efm";"";"";""
"Waldhackgut";"457";"Efm";"";"";""
"SCHADHOLZ";"64209";"Efm";"";"";""
"Nadelholz";"64205";"Efm";"";"";""
"biotische Schäden";"34688";"Efm";"";"";""
"davon Borkenkäfer";"31651";"Efm";"";"";""
"sonstige";"3037";"Efm";"";"";""
"abiotische Schäden";"29518";"Efm";"";"";""
"davon Sturm";"22564";"Efm";"";"";""
"sonstige";"6954";"Efm";"";"";""
"Laubholz";"4";"Efm";"";"";""
"biotische Schäden";"0";"Efm";"";"";""
"davon Borkenkäfer";"0";"Efm";"";"";""
"sonstige";"0";"Efm";"";"";""
"abiotische Schäden";"4";"Efm";"";"";""
"davon Sturm";"4";"Efm";"";"";""
"sonstige";"0";"Efm";"";"";""
"VORNUTZUNG";"129253";"Efm";"";"";""
"Nadelholz";"129248";"Efm";"";"";""
"Laubholz";"5";"Efm";"";"";""
"FREMDWERBUNG";"177777";"Efm";"";"";""
"Nadelholz";"177771";"Efm";"";"";""
"Unternehmer aus dem EU-Ausland";"0";"Efm";"";"";""
"Unternehmer aus dem Nicht-EU-Ausland";"593";"Efm";"";"";""
"Laubholz";"6";"Efm";"";"";""
"Unternehmer aus dem EU-Ausland";"0";"Efm";"";"";""
"Unternehmer aus dem Nicht-EU-Ausland";"0";"Efm";"";"";""
"HOLZVERWENDUNG (IN EFM O. R.)";"";"";"";"";""
"VERKAUF";"357912";"Efm";"";"";""
"Nadelholz";"355184";"Efm";"";"";""
"Sägerundholz";"237532";"Efm";"";"";""
"Energieholz";"7549";"Efm";"";"";""
"Industrieholz";"110102";"Efm";"";"";""
"Laubholz";"2729";"Efm";"";"";""
"Sägerundholz";"0";"Efm";"";"";""
"Energieholz";"1589";"Efm";"";"";""
"Industrieholz";"1140";"Efm";"";"";""
"EIGENVERBRAUCH";"25873";"Efm";"";"";""
"Nadelholz";"23453";"Efm";"";"";""
"Nutzholz";"1209";"Efm";"";"";""
"Energieholz";"22244";"Efm";"";"";""
"Laubholz";"2420";"Efm";"";"";""
"Nutzholz";"0";"Efm";"";"";""
"Energieholz";"2420";"Efm";"";"";""
"GEWÄHRTE HOLZBEZUGSRECHTE";"1079";"Efm";"";"";""
"Nadelholz";"1079";"Efm";"";"";""
"Laubholz";"0";"Efm";"";"";""
"BRINGUNGSWESEN (IN EFM O. R.)";"";"";"";"";""
"Bodenzug (*)";"267649";"Efm";"";"";""
"Seilgerät";"67452";"Efm";"";"";""
"Sortimentschlepper (Forwarder)";"37985";"Efm";"";"";""
"Sonstiges (inkl. Riesen)";"11623";"Efm";"";"";""
"NUTZUNG DURCH HARVESTER (IN EFM O. R.)";"";"";"";"";""
"Nutzung durch Harvester";"47106";"Efm";"";"";""
"FLÄCHEN DER NUTZUNG (IN HA)";"";"";"";"";""
"Kahlschlag insgesamt";"485";"ha";"";"";""
"Bewilligte, vollzogene Fällung Kahlschlag";"73";"ha";"";"";""
"Freie Fällung Kahlschlag";"412";"ha";"";"";""
"Einzelstammentnahme insgesamt";"1936";"ha";"";"";""
"Reduzierte Fläche Einzelst. insgesamt";"586";"ha";"";"";""
"Bewilligte, vollzogene Fällung Einzelst.";"0";"ha";"";"";""
"Bewill., vollz. Fällung Einzelst. red. Fläche";"0";"ha";"";"";""
"Freie Fällung Einzelstammentnahme";"1936";"ha";"";"";""
"Freie Fällung Einzelst. reduzierte Fläche";"586";"ha";"";"";""
