"HOLZEINSCHLAGSMELDUNG für das Jahr 2011"
"Leoben"
"Betriebe < 200 ha"

"EINSCHLAG (IN EFM. O. R.)";"";"";"";"";""
"GESAMTEINSCHLAG";"97507";"Efm";"";"";""
"NADELHOLZ";"94521";"Efm";"";"";""
"LAUBHOLZ";"2986";"Efm";"";"";""
"ROHHOLZ - stoffliche Nutzung";"84472";"Efm";"";"";""
"Nadelrohholz";"84062";"Efm";"";"";""
"Laubrohholz";"409";"Efm";"";"";""
"SÄGERUNDHOLZ";"65757";"Efm";"";"";""
"Sägerundholz > 20cm MDM.";"54215";"Efm";"";"";""
"Nadelholz";"54215";"Efm";"";"";""
"davon Fichte/Tanne";"45263";"Efm";"";"";""
"davon Kiefer";"2050";"Efm";"";"";""
"davon Lärche";"6902";"Efm";"";"";""
"Laubholz";"0";"Efm";"";"";""
"davon Buche";"0";"Efm";"";"";""
"davon Eiche";"0";"Efm";"";"";""
"Sägeschwachholz";"11542";"Efm";"";"";""
"Nadelholz";"11542";"Efm";"";"";""
"Laubholz";"0";"Efm";"";"";""
"INDUSTRIERUNDHOLZ";"18714";"Efm";"";"";""
"Nadelholz";"18305";"Efm";"";"";""
"Laubholz";"409";"Efm";"";"";""
"ROHHOLZ - energetische Nutzung";"13036";"Efm";"";"";""
"Nadelholz";"10459";"Efm";"";"";""
"Brennholz";"9848";"Efm";"";"";""
"Waldhackgut";"611";"Efm";"";"";""
"Laubholz";"2577";"Efm";"";"";""
"Brennholz";"2444";"Efm";"";"";""
"Waldhackgut";"133";"Efm";"";"";""
"SCHADHOLZ";"12048";"Efm";"";"";""
"Nadelholz";"12048";"Efm";"";"";""
"biotische Schäden";"11207";"Efm";"";"";""
"davon Borkenkäfer";"11207";"Efm";"";"";""
"sonstige";"0";"Efm";"";"";""
"abiotische Schäden";"840";"Efm";"";"";""
"davon Sturm";"840";"Efm";"";"";""
"sonstige";"0";"Efm";"";"";""
"Laubholz";"0";"Efm";"";"";""
"biotische Schäden";"0";"Efm";"";"";""
"davon Borkenkäfer";"0";"Efm";"";"";""
"sonstige";"0";"Efm";"";"";""
"abiotische Schäden";"0";"Efm";"";"";""
"davon Sturm";"0";"Efm";"";"";""
"sonstige";"0";"Efm";"";"";""
"VORNUTZUNG";"42268";"Efm";"";"";""
"Nadelholz";"42268";"Efm";"";"";""
"Laubholz";"0";"Efm";"";"";""
"FREMDWERBUNG";"22595";"Efm";"";"";""
"Nadelholz";"21110";"Efm";"";"";""
"Unternehmer aus dem EU-Ausland";"282";"Efm";"";"";""
"Unternehmer aus dem Nicht-EU-Ausland";"0";"Efm";"";"";""
"Laubholz";"1486";"Efm";"";"";""
"Unternehmer aus dem EU-Ausland";"0";"Efm";"";"";""
"Unternehmer aus dem Nicht-EU-Ausland";"0";"Efm";"";"";""
"HOLZVERWENDUNG (IN EFM O. R.)";"";"";"";"";""
"VERKAUF";"88550";"Efm";"";"";""
"Nadelholz";"86278";"Efm";"";"";""
"Sägerundholz";"65355";"Efm";"";"";""
"Energieholz";"2618";"Efm";"";"";""
"Industrieholz";"18305";"Efm";"";"";""
"Laubholz";"2272";"Efm";"";"";""
"Sägerundholz";"0";"Efm";"";"";""
"Energieholz";"1863";"Efm";"";"";""
"Industrieholz";"409";"Efm";"";"";""
"EIGENVERBRAUCH";"8957";"Efm";"";"";""
"Nadelholz";"8243";"Efm";"";"";""
"Nutzholz";"402";"Efm";"";"";""
"Energieholz";"7841";"Efm";"";"";""
"Laubholz";"714";"Efm";"";"";""
"Nutzholz";"0";"Efm";"";"";""
"Energieholz";"714";"Efm";"";"";""
"GEWÄHRTE HOLZBEZUGSRECHTE";"0";"Efm";"";"";""
"Nadelholz";"0";"Efm";"";"";""
"Laubholz";"0";"Efm";"";"";""
"BRINGUNGSWESEN (IN EFM O. R.)";"";"";"";"";""
"Bodenzug (*)";"54669";"Efm";"";"";""
"Seilgerät";"26808";"Efm";"";"";""
"Sortimentschlepper (Forwarder)";"13986";"Efm";"";"";""
"Sonstiges (inkl. Riesen)";"1989";"Efm";"";"";""
"NUTZUNG DURCH HARVESTER (IN EFM O. R.)";"";"";"";"";""
"Nutzung durch Harvester";"9365";"Efm";"";"";""
"FLÄCHEN DER NUTZUNG (IN HA)";"";"";"";"";""
"Kahlschlag insgesamt";"108";"ha";"";"";""
"Bewilligte, vollzogene Fällung Kahlschlag";"0";"ha";"";"";""
"Freie Fällung Kahlschlag";"108";"ha";"";"";""
"Einzelstammentnahme insgesamt";"645";"ha";"";"";""
"Reduzierte Fläche Einzelst. insgesamt";"203";"ha";"";"";""
"Bewilligte, vollzogene Fällung Einzelst.";"0";"ha";"";"";""
"Bewill., vollz. Fällung Einzelst. red. Fläche";"0";"ha";"";"";""
"Freie Fällung Einzelstammentnahme";"645";"ha";"";"";""
"Freie Fällung Einzelst. reduzierte Fläche";"203";"ha";"";"";""
