"HOLZEINSCHLAGSMELDUNG für das Jahr 2011"
"Leoben"
"Betriebe ab 200 ha (ohne ÖBf)"

"EINSCHLAG (IN EFM. O. R.)";"";"";"";"";""
"GESAMTEINSCHLAG";"383634";"Efm";"";"";""
"NADELHOLZ";"379895";"Efm";"";"";""
"LAUBHOLZ";"3739";"Efm";"";"";""
"ROHHOLZ - stoffliche Nutzung";"367772";"Efm";"";"";""
"Nadelrohholz";"365888";"Efm";"";"";""
"Laubrohholz";"1884";"Efm";"";"";""
"SÄGERUNDHOLZ";"250406";"Efm";"";"";""
"Sägerundholz > 20cm MDM.";"218986";"Efm";"";"";""
"Nadelholz";"218848";"Efm";"";"";""
"davon Fichte/Tanne";"183374";"Efm";"";"";""
"davon Kiefer";"1225";"Efm";"";"";""
"davon Lärche";"13127";"Efm";"";"";""
"Laubholz";"138";"Efm";"";"";""
"davon Buche";"63";"Efm";"";"";""
"davon Eiche";"3";"Efm";"";"";""
"Sägeschwachholz";"31420";"Efm";"";"";""
"Nadelholz";"31371";"Efm";"";"";""
"Laubholz";"49";"Efm";"";"";""
"INDUSTRIERUNDHOLZ";"117366";"Efm";"";"";""
"Nadelholz";"115669";"Efm";"";"";""
"Laubholz";"1697";"Efm";"";"";""
"ROHHOLZ - energetische Nutzung";"15862";"Efm";"";"";""
"Nadelholz";"14007";"Efm";"";"";""
"Brennholz";"5288";"Efm";"";"";""
"Waldhackgut";"8719";"Efm";"";"";""
"Laubholz";"1855";"Efm";"";"";""
"Brennholz";"1845";"Efm";"";"";""
"Waldhackgut";"10";"Efm";"";"";""
"SCHADHOLZ";"163043";"Efm";"";"";""
"Nadelholz";"162930";"Efm";"";"";""
"biotische Schäden";"138952";"Efm";"";"";""
"davon Borkenkäfer";"137810";"Efm";"";"";""
"sonstige";"1142";"Efm";"";"";""
"abiotische Schäden";"23978";"Efm";"";"";""
"davon Sturm";"20887";"Efm";"";"";""
"sonstige";"3091";"Efm";"";"";""
"Laubholz";"113";"Efm";"";"";""
"biotische Schäden";"0";"Efm";"";"";""
"davon Borkenkäfer";"0";"Efm";"";"";""
"sonstige";"0";"Efm";"";"";""
"abiotische Schäden";"113";"Efm";"";"";""
"davon Sturm";"84";"Efm";"";"";""
"sonstige";"29";"Efm";"";"";""
"VORNUTZUNG";"103055";"Efm";"";"";""
"Nadelholz";"102130";"Efm";"";"";""
"Laubholz";"925";"Efm";"";"";""
"FREMDWERBUNG";"224355";"Efm";"";"";""
"Nadelholz";"221849";"Efm";"";"";""
"Unternehmer aus dem EU-Ausland";"0";"Efm";"";"";""
"Unternehmer aus dem Nicht-EU-Ausland";"0";"Efm";"";"";""
"Laubholz";"2506";"Efm";"";"";""
"Unternehmer aus dem EU-Ausland";"0";"Efm";"";"";""
"Unternehmer aus dem Nicht-EU-Ausland";"0";"Efm";"";"";""
"HOLZVERWENDUNG (IN EFM O. R.)";"";"";"";"";""
"VERKAUF";"376855";"Efm";"";"";""
"Nadelholz";"373630";"Efm";"";"";""
"Sägerundholz";"249249";"Efm";"";"";""
"Energieholz";"8737";"Efm";"";"";""
"Industrieholz";"115644";"Efm";"";"";""
"Laubholz";"3225";"Efm";"";"";""
"Sägerundholz";"174";"Efm";"";"";""
"Energieholz";"1383";"Efm";"";"";""
"Industrieholz";"1668";"Efm";"";"";""
"EIGENVERBRAUCH";"4904";"Efm";"";"";""
"Nadelholz";"4506";"Efm";"";"";""
"Nutzholz";"336";"Efm";"";"";""
"Energieholz";"4170";"Efm";"";"";""
"Laubholz";"398";"Efm";"";"";""
"Nutzholz";"37";"Efm";"";"";""
"Energieholz";"361";"Efm";"";"";""
"GEWÄHRTE HOLZBEZUGSRECHTE";"1875";"Efm";"";"";""
"Nadelholz";"1759";"Efm";"";"";""
"Laubholz";"116";"Efm";"";"";""
"BRINGUNGSWESEN (IN EFM O. R.)";"";"";"";"";""
"Bodenzug (*)";"129042";"Efm";"";"";""
"Seilgerät";"205621";"Efm";"";"";""
"Sortimentschlepper (Forwarder)";"33900";"Efm";"";"";""
"Sonstiges (inkl. Riesen)";"15025";"Efm";"";"";""
"NUTZUNG DURCH HARVESTER (IN EFM O. R.)";"";"";"";"";""
"Nutzung durch Harvester";"30285";"Efm";"";"";""
"FLÄCHEN DER NUTZUNG (IN HA)";"";"";"";"";""
"Kahlschlag insgesamt";"457";"ha";"";"";""
"Bewilligte, vollzogene Fällung Kahlschlag";"125";"ha";"";"";""
"Freie Fällung Kahlschlag";"331";"ha";"";"";""
"Einzelstammentnahme insgesamt";"1274";"ha";"";"";""
"Reduzierte Fläche Einzelst. insgesamt";"461";"ha";"";"";""
"Bewilligte, vollzogene Fällung Einzelst.";"20";"ha";"";"";""
"Bewill., vollz. Fällung Einzelst. red. Fläche";"10";"ha";"";"";""
"Freie Fällung Einzelstammentnahme";"1254";"ha";"";"";""
"Freie Fällung Einzelst. reduzierte Fläche";"451";"ha";"";"";""
