"HOLZEINSCHLAGSMELDUNG für das Jahr 2011"
"Liezen"
"INSGESAMT"

"EINSCHLAG (IN EFM. O. R.)";"";"";"";"";""
"GESAMTEINSCHLAG";"449148";"Efm";"";"";""
"NADELHOLZ";"428999";"Efm";"";"";""
"LAUBHOLZ";"20149";"Efm";"";"";""
"ROHHOLZ - stoffliche Nutzung";"411530";"Efm";"";"";""
"Nadelrohholz";"400261";"Efm";"";"";""
"Laubrohholz";"11269";"Efm";"";"";""
"SÄGERUNDHOLZ";"301424";"Efm";"";"";""
"Sägerundholz > 20cm MDM.";"271065";"Efm";"";"";""
"Nadelholz";"269798";"Efm";"";"";""
"davon Fichte/Tanne";"259888";"Efm";"";"";""
"davon Kiefer";"196";"Efm";"";"";""
"davon Lärche";"9676";"Efm";"";"";""
"Laubholz";"1268";"Efm";"";"";""
"davon Buche";"856";"Efm";"";"";""
"davon Eiche";"313";"Efm";"";"";""
"Sägeschwachholz";"30359";"Efm";"";"";""
"Nadelholz";"30337";"Efm";"";"";""
"Laubholz";"22";"Efm";"";"";""
"INDUSTRIERUNDHOLZ";"110106";"Efm";"";"";""
"Nadelholz";"100126";"Efm";"";"";""
"Laubholz";"9980";"Efm";"";"";""
"ROHHOLZ - energetische Nutzung";"37618";"Efm";"";"";""
"Nadelholz";"28738";"Efm";"";"";""
"Brennholz";"10441";"Efm";"";"";""
"Waldhackgut";"18298";"Efm";"";"";""
"Laubholz";"8880";"Efm";"";"";""
"Brennholz";"8389";"Efm";"";"";""
"Waldhackgut";"490";"Efm";"";"";""
"SCHADHOLZ";"328686";"Efm";"";"";""
"Nadelholz";"322408";"Efm";"";"";""
"biotische Schäden";"297412";"Efm";"";"";""
"davon Borkenkäfer";"297002";"Efm";"";"";""
"sonstige";"410";"Efm";"";"";""
"abiotische Schäden";"24997";"Efm";"";"";""
"davon Sturm";"22852";"Efm";"";"";""
"sonstige";"2145";"Efm";"";"";""
"Laubholz";"6278";"Efm";"";"";""
"biotische Schäden";"2791";"Efm";"";"";""
"davon Borkenkäfer";"2630";"Efm";"";"";""
"sonstige";"161";"Efm";"";"";""
"abiotische Schäden";"3487";"Efm";"";"";""
"davon Sturm";"3065";"Efm";"";"";""
"sonstige";"422";"Efm";"";"";""
"VORNUTZUNG";"41412";"Efm";"";"";""
"Nadelholz";"39498";"Efm";"";"";""
"Laubholz";"1914";"Efm";"";"";""
"FREMDWERBUNG";"284736";"Efm";"";"";""
"Nadelholz";"274987";"Efm";"";"";""
"Unternehmer aus dem EU-Ausland";"16610";"Efm";"";"";""
"Unternehmer aus dem Nicht-EU-Ausland";"54161";"Efm";"";"";""
"Laubholz";"9749";"Efm";"";"";""
"Unternehmer aus dem EU-Ausland";"0";"Efm";"";"";""
"Unternehmer aus dem Nicht-EU-Ausland";"0";"Efm";"";"";""
"HOLZVERWENDUNG (IN EFM O. R.)";"";"";"";"";""
"VERKAUF";"432217";"Efm";"";"";""
"Nadelholz";"416400";"Efm";"";"";""
"Sägerundholz";"296321";"Efm";"";"";""
"Energieholz";"18572";"Efm";"";"";""
"Industrieholz";"101507";"Efm";"";"";""
"Laubholz";"15817";"Efm";"";"";""
"Sägerundholz";"1289";"Efm";"";"";""
"Energieholz";"4628";"Efm";"";"";""
"Industrieholz";"9900";"Efm";"";"";""
"EIGENVERBRAUCH";"14890";"Efm";"";"";""
"Nadelholz";"10769";"Efm";"";"";""
"Nutzholz";"804";"Efm";"";"";""
"Energieholz";"9965";"Efm";"";"";""
"Laubholz";"4121";"Efm";"";"";""
"Nutzholz";"13";"Efm";"";"";""
"Energieholz";"4108";"Efm";"";"";""
"GEWÄHRTE HOLZBEZUGSRECHTE";"2049";"Efm";"";"";""
"Nadelholz";"1824";"Efm";"";"";""
"Laubholz";"225";"Efm";"";"";""
"BRINGUNGSWESEN (IN EFM O. R.)";"";"";"";"";""
"Bodenzug (*)";"213016";"Efm";"";"";""
"Seilgerät";"192014";"Efm";"";"";""
"Sortimentschlepper (Forwarder)";"33372";"Efm";"";"";""
"Sonstiges (inkl. Riesen)";"10699";"Efm";"";"";""
"NUTZUNG DURCH HARVESTER (IN EFM O. R.)";"";"";"";"";""
"Nutzung durch Harvester";"17066";"Efm";"";"";""
"FLÄCHEN DER NUTZUNG (IN HA)";"";"";"";"";""
"Kahlschlag insgesamt";"692";"ha";"";"";""
"Bewilligte, vollzogene Fällung Kahlschlag";"45";"ha";"";"";""
"Freie Fällung Kahlschlag";"647";"ha";"";"";""
"Einzelstammentnahme insgesamt";"5771";"ha";"";"";""
"Reduzierte Fläche Einzelst. insgesamt";"543";"ha";"";"";""
"Bewilligte, vollzogene Fällung Einzelst.";"30";"ha";"";"";""
"Bewill., vollz. Fällung Einzelst. red. Fläche";"0";"ha";"";"";""
"Freie Fällung Einzelstammentnahme";"5741";"ha";"";"";""
"Freie Fällung Einzelst. reduzierte Fläche";"543";"ha";"";"";""
