"HOLZEINSCHLAGSMELDUNG für das Jahr 2011"
"Steiermark"
"ÖBf"

"EINSCHLAG (IN EFM. O. R.)";"";"";"";"";""
"GESAMTEINSCHLAG";"293370";"Efm";"";"";""
"NADELHOLZ";"279174";"Efm";"";"";""
"LAUBHOLZ";"14196";"Efm";"";"";""
"ROHHOLZ - stoffliche Nutzung";"239929";"Efm";"";"";""
"Nadelrohholz";"231563";"Efm";"";"";""
"Laubrohholz";"8366";"Efm";"";"";""
"SÄGERUNDHOLZ";"170547";"Efm";"";"";""
"Sägerundholz > 20cm MDM.";"157128";"Efm";"";"";""
"Nadelholz";"157055";"Efm";"";"";""
"davon Fichte/Tanne";"153786";"Efm";"";"";""
"davon Kiefer";"166";"Efm";"";"";""
"davon Lärche";"2978";"Efm";"";"";""
"Laubholz";"73";"Efm";"";"";""
"davon Buche";"38";"Efm";"";"";""
"davon Eiche";"0";"Efm";"";"";""
"Sägeschwachholz";"13420";"Efm";"";"";""
"Nadelholz";"13291";"Efm";"";"";""
"Laubholz";"128";"Efm";"";"";""
"INDUSTRIERUNDHOLZ";"69381";"Efm";"";"";""
"Nadelholz";"61216";"Efm";"";"";""
"Laubholz";"8165";"Efm";"";"";""
"ROHHOLZ - energetische Nutzung";"53441";"Efm";"";"";""
"Nadelholz";"47611";"Efm";"";"";""
"Brennholz";"5725";"Efm";"";"";""
"Waldhackgut";"41886";"Efm";"";"";""
"Laubholz";"5830";"Efm";"";"";""
"Brennholz";"5647";"Efm";"";"";""
"Waldhackgut";"183";"Efm";"";"";""
"SCHADHOLZ";"219272";"Efm";"";"";""
"Nadelholz";"208691";"Efm";"";"";""
"biotische Schäden";"180434";"Efm";"";"";""
"davon Borkenkäfer";"180434";"Efm";"";"";""
"sonstige";"0";"Efm";"";"";""
"abiotische Schäden";"28257";"Efm";"";"";""
"davon Sturm";"23729";"Efm";"";"";""
"sonstige";"4528";"Efm";"";"";""
"Laubholz";"10581";"Efm";"";"";""
"biotische Schäden";"4204";"Efm";"";"";""
"davon Borkenkäfer";"4204";"Efm";"";"";""
"sonstige";"0";"Efm";"";"";""
"abiotische Schäden";"6377";"Efm";"";"";""
"davon Sturm";"5049";"Efm";"";"";""
"sonstige";"1327";"Efm";"";"";""
"VORNUTZUNG";"45540";"Efm";"";"";""
"Nadelholz";"43736";"Efm";"";"";""
"Laubholz";"1804";"Efm";"";"";""
"FREMDWERBUNG";"171805";"Efm";"";"";""
"Nadelholz";"161821";"Efm";"";"";""
"Unternehmer aus dem EU-Ausland";"4002";"Efm";"";"";""
"Unternehmer aus dem Nicht-EU-Ausland";"0";"Efm";"";"";""
"Laubholz";"9984";"Efm";"";"";""
"Unternehmer aus dem EU-Ausland";"201";"Efm";"";"";""
"Unternehmer aus dem Nicht-EU-Ausland";"0";"Efm";"";"";""
"HOLZVERWENDUNG (IN EFM O. R.)";"";"";"";"";""
"VERKAUF";"269206";"Efm";"";"";""
"Nadelholz";"257089";"Efm";"";"";""
"Sägerundholz";"149229";"Efm";"";"";""
"Energieholz";"45411";"Efm";"";"";""
"Industrieholz";"62449";"Efm";"";"";""
"Laubholz";"12118";"Efm";"";"";""
"Sägerundholz";"200";"Efm";"";"";""
"Energieholz";"3899";"Efm";"";"";""
"Industrieholz";"8019";"Efm";"";"";""
"EIGENVERBRAUCH";"811";"Efm";"";"";""
"Nadelholz";"55";"Efm";"";"";""
"Nutzholz";"0";"Efm";"";"";""
"Energieholz";"55";"Efm";"";"";""
"Laubholz";"757";"Efm";"";"";""
"Nutzholz";"0";"Efm";"";"";""
"Energieholz";"757";"Efm";"";"";""
"GEWÄHRTE HOLZBEZUGSRECHTE";"23361";"Efm";"";"";""
"Nadelholz";"22024";"Efm";"";"";""
"Laubholz";"1337";"Efm";"";"";""
"BRINGUNGSWESEN (IN EFM O. R.)";"";"";"";"";""
"Bodenzug (*)";"28220";"Efm";"";"";""
"Seilgerät";"111085";"Efm";"";"";""
"Sortimentschlepper (Forwarder)";"138520";"Efm";"";"";""
"Sonstiges (inkl. Riesen)";"16282";"Efm";"";"";""
"NUTZUNG DURCH HARVESTER (IN EFM O. R.)";"";"";"";"";""
"Nutzung durch Harvester";"26166";"Efm";"";"";""
"FLÄCHEN DER NUTZUNG (IN HA)";"";"";"";"";""
"Kahlschlag insgesamt";"178";"ha";"";"";""
"Bewilligte, vollzogene Fällung Kahlschlag";"40";"ha";"";"";""
"Freie Fällung Kahlschlag";"137";"ha";"";"";""
"Einzelstammentnahme insgesamt";"17007";"ha";"";"";""
"Reduzierte Fläche Einzelst. insgesamt";"854";"ha";"";"";""
"Bewilligte, vollzogene Fällung Einzelst.";"64";"ha";"";"";""
"Bewill., vollz. Fällung Einzelst. red. Fläche";"8";"ha";"";"";""
"Freie Fällung Einzelstammentnahme";"16943";"ha";"";"";""
"Freie Fällung Einzelst. reduzierte Fläche";"846";"ha";"";"";""
