"HOLZEINSCHLAGSMELDUNG für das Jahr 2011"
"Voitsberg"
"Betriebe ab 200 ha (ohne ÖBf)"

"EINSCHLAG (IN EFM. O. R.)";"";"";"";"";""
"GESAMTEINSCHLAG";"45823";"Efm";"";"";""
"NADELHOLZ";"44920";"Efm";"";"";""
"LAUBHOLZ";"903";"Efm";"";"";""
"ROHHOLZ - stoffliche Nutzung";"43428";"Efm";"";"";""
"Nadelrohholz";"42830";"Efm";"";"";""
"Laubrohholz";"598";"Efm";"";"";""
"SÄGERUNDHOLZ";"30174";"Efm";"";"";""
"Sägerundholz > 20cm MDM.";"25219";"Efm";"";"";""
"Nadelholz";"24853";"Efm";"";"";""
"davon Fichte/Tanne";"23377";"Efm";"";"";""
"davon Kiefer";"645";"Efm";"";"";""
"davon Lärche";"825";"Efm";"";"";""
"Laubholz";"366";"Efm";"";"";""
"davon Buche";"84";"Efm";"";"";""
"davon Eiche";"0";"Efm";"";"";""
"Sägeschwachholz";"4955";"Efm";"";"";""
"Nadelholz";"4955";"Efm";"";"";""
"Laubholz";"0";"Efm";"";"";""
"INDUSTRIERUNDHOLZ";"13254";"Efm";"";"";""
"Nadelholz";"13022";"Efm";"";"";""
"Laubholz";"232";"Efm";"";"";""
"ROHHOLZ - energetische Nutzung";"2395";"Efm";"";"";""
"Nadelholz";"2090";"Efm";"";"";""
"Brennholz";"948";"Efm";"";"";""
"Waldhackgut";"1142";"Efm";"";"";""
"Laubholz";"305";"Efm";"";"";""
"Brennholz";"305";"Efm";"";"";""
"Waldhackgut";"0";"Efm";"";"";""
"SCHADHOLZ";"6128";"Efm";"";"";""
"Nadelholz";"6122";"Efm";"";"";""
"biotische Schäden";"2903";"Efm";"";"";""
"davon Borkenkäfer";"2444";"Efm";"";"";""
"sonstige";"459";"Efm";"";"";""
"abiotische Schäden";"3219";"Efm";"";"";""
"davon Sturm";"2362";"Efm";"";"";""
"sonstige";"857";"Efm";"";"";""
"Laubholz";"6";"Efm";"";"";""
"biotische Schäden";"0";"Efm";"";"";""
"davon Borkenkäfer";"0";"Efm";"";"";""
"sonstige";"0";"Efm";"";"";""
"abiotische Schäden";"6";"Efm";"";"";""
"davon Sturm";"6";"Efm";"";"";""
"sonstige";"0";"Efm";"";"";""
"VORNUTZUNG";"20696";"Efm";"";"";""
"Nadelholz";"20503";"Efm";"";"";""
"Laubholz";"193";"Efm";"";"";""
"FREMDWERBUNG";"32556";"Efm";"";"";""
"Nadelholz";"31982";"Efm";"";"";""
"Unternehmer aus dem EU-Ausland";"0";"Efm";"";"";""
"Unternehmer aus dem Nicht-EU-Ausland";"0";"Efm";"";"";""
"Laubholz";"574";"Efm";"";"";""
"Unternehmer aus dem EU-Ausland";"0";"Efm";"";"";""
"Unternehmer aus dem Nicht-EU-Ausland";"0";"Efm";"";"";""
"HOLZVERWENDUNG (IN EFM O. R.)";"";"";"";"";""
"VERKAUF";"45032";"Efm";"";"";""
"Nadelholz";"44368";"Efm";"";"";""
"Sägerundholz";"29726";"Efm";"";"";""
"Energieholz";"1757";"Efm";"";"";""
"Industrieholz";"12885";"Efm";"";"";""
"Laubholz";"664";"Efm";"";"";""
"Sägerundholz";"366";"Efm";"";"";""
"Energieholz";"66";"Efm";"";"";""
"Industrieholz";"232";"Efm";"";"";""
"EIGENVERBRAUCH";"791";"Efm";"";"";""
"Nadelholz";"552";"Efm";"";"";""
"Nutzholz";"147";"Efm";"";"";""
"Energieholz";"405";"Efm";"";"";""
"Laubholz";"239";"Efm";"";"";""
"Nutzholz";"0";"Efm";"";"";""
"Energieholz";"239";"Efm";"";"";""
"GEWÄHRTE HOLZBEZUGSRECHTE";"0";"Efm";"";"";""
"Nadelholz";"0";"Efm";"";"";""
"Laubholz";"0";"Efm";"";"";""
"BRINGUNGSWESEN (IN EFM O. R.)";"";"";"";"";""
"Bodenzug (*)";"27022";"Efm";"";"";""
"Seilgerät";"8944";"Efm";"";"";""
"Sortimentschlepper (Forwarder)";"9419";"Efm";"";"";""
"Sonstiges (inkl. Riesen)";"426";"Efm";"";"";""
"NUTZUNG DURCH HARVESTER (IN EFM O. R.)";"";"";"";"";""
"Nutzung durch Harvester";"4916";"Efm";"";"";""
"FLÄCHEN DER NUTZUNG (IN HA)";"";"";"";"";""
"Kahlschlag insgesamt";"20";"ha";"";"";""
"Bewilligte, vollzogene Fällung Kahlschlag";"4";"ha";"";"";""
"Freie Fällung Kahlschlag";"16";"ha";"";"";""
"Einzelstammentnahme insgesamt";"909";"ha";"";"";""
"Reduzierte Fläche Einzelst. insgesamt";"126";"ha";"";"";""
"Bewilligte, vollzogene Fällung Einzelst.";"100";"ha";"";"";""
"Bewill., vollz. Fällung Einzelst. red. Fläche";"20";"ha";"";"";""
"Freie Fällung Einzelstammentnahme";"809";"ha";"";"";""
"Freie Fällung Einzelst. reduzierte Fläche";"106";"ha";"";"";""
