"HOLZEINSCHLAGSMELDUNG für das Jahr 2011"
"Österreich"
"INSGESAMT"

"EINSCHLAG (IN EFM. O. R.)";"";"";"";"";""
"GESAMTEINSCHLAG";"18695671";"Efm";"";"";""
"NADELHOLZ";"15727260";"Efm";"";"";""
"LAUBHOLZ";"2968411";"Efm";"";"";""
"ROHHOLZ - stoffliche Nutzung";"13630532";"Efm";"";"";""
"Nadelrohholz";"12783575";"Efm";"";"";""
"Laubrohholz";"846957";"Efm";"";"";""
"SÄGERUNDHOLZ";"10385691";"Efm";"";"";""
"Sägerundholz > 20cm MDM.";"9106544";"Efm";"";"";""
"Nadelholz";"8804071";"Efm";"";"";""
"davon Fichte/Tanne";"7685901";"Efm";"";"";""
"davon Kiefer";"542600";"Efm";"";"";""
"davon Lärche";"371985";"Efm";"";"";""
"Laubholz";"302474";"Efm";"";"";""
"davon Buche";"165696";"Efm";"";"";""
"davon Eiche";"52014";"Efm";"";"";""
"Sägeschwachholz";"1279147";"Efm";"";"";""
"Nadelholz";"1260745";"Efm";"";"";""
"Laubholz";"18402";"Efm";"";"";""
"INDUSTRIERUNDHOLZ";"3244841";"Efm";"";"";""
"Nadelholz";"2718759";"Efm";"";"";""
"Laubholz";"526081";"Efm";"";"";""
"ROHHOLZ - energetische Nutzung";"5065139";"Efm";"";"";""
"Nadelholz";"2943685";"Efm";"";"";""
"Brennholz";"1451994";"Efm";"";"";""
"Waldhackgut";"1491691";"Efm";"";"";""
"Laubholz";"2121454";"Efm";"";"";""
"Brennholz";"1319675";"Efm";"";"";""
"Waldhackgut";"801778";"Efm";"";"";""
"SCHADHOLZ";"3497124";"Efm";"";"";""
"Nadelholz";"3228161";"Efm";"";"";""
"biotische Schäden";"2372549";"Efm";"";"";""
"davon Borkenkäfer";"2174342";"Efm";"";"";""
"sonstige";"198207";"Efm";"";"";""
"abiotische Schäden";"855612";"Efm";"";"";""
"davon Sturm";"583617";"Efm";"";"";""
"sonstige";"271995";"Efm";"";"";""
"Laubholz";"268962";"Efm";"";"";""
"biotische Schäden";"94040";"Efm";"";"";""
"davon Borkenkäfer";"26230";"Efm";"";"";""
"sonstige";"67810";"Efm";"";"";""
"abiotische Schäden";"174922";"Efm";"";"";""
"davon Sturm";"123026";"Efm";"";"";""
"sonstige";"51896";"Efm";"";"";""
"VORNUTZUNG";"5794294";"Efm";"";"";""
"Nadelholz";"4801871";"Efm";"";"";""
"Laubholz";"992423";"Efm";"";"";""
"FREMDWERBUNG";"8919760";"Efm";"";"";""
"Nadelholz";"7897911";"Efm";"";"";""
"Unternehmer aus dem EU-Ausland";"163845";"Efm";"";"";""
"Unternehmer aus dem Nicht-EU-Ausland";"67537";"Efm";"";"";""
"Laubholz";"1021849";"Efm";"";"";""
"Unternehmer aus dem EU-Ausland";"25306";"Efm";"";"";""
"Unternehmer aus dem Nicht-EU-Ausland";"246";"Efm";"";"";""
"HOLZVERWENDUNG (IN EFM O. R.)";"";"";"";"";""
"VERKAUF";"15427857";"Efm";"";"";""
"Nadelholz";"13629928";"Efm";"";"";""
"Sägerundholz";"9627269";"Efm";"";"";""
"Energieholz";"1351162";"Efm";"";"";""
"Industrieholz";"2651497";"Efm";"";"";""
"Laubholz";"1797929";"Efm";"";"";""
"Sägerundholz";"307296";"Efm";"";"";""
"Energieholz";"980234";"Efm";"";"";""
"Industrieholz";"510400";"Efm";"";"";""
"EIGENVERBRAUCH";"2921078";"Efm";"";"";""
"Nadelholz";"1805126";"Efm";"";"";""
"Nutzholz";"263627";"Efm";"";"";""
"Energieholz";"1541499";"Efm";"";"";""
"Laubholz";"1115952";"Efm";"";"";""
"Nutzholz";"20601";"Efm";"";"";""
"Energieholz";"1095351";"Efm";"";"";""
"GEWÄHRTE HOLZBEZUGSRECHTE";"346736";"Efm";"";"";""
"Nadelholz";"292125";"Efm";"";"";""
"Laubholz";"54611";"Efm";"";"";""
"BRINGUNGSWESEN (IN EFM O. R.)";"";"";"";"";""
"Bodenzug (*)";"8290652";"Efm";"";"";""
"Seilgerät";"4034126";"Efm";"";"";""
"Sortimentschlepper (Forwarder)";"6045770";"Efm";"";"";""
"Sonstiges (inkl. Riesen)";"347896";"Efm";"";"";""
"NUTZUNG DURCH HARVESTER (IN EFM O. R.)";"";"";"";"";""
"Nutzung durch Harvester";"3259000";"Efm";"";"";""
"FLÄCHEN DER NUTZUNG (IN HA)";"";"";"";"";""
"Kahlschlag insgesamt";"18827";"ha";"";"";""
"Bewilligte, vollzogene Fällung Kahlschlag";"6166";"ha";"";"";""
"Freie Fällung Kahlschlag";"12661";"ha";"";"";""
"Einzelstammentnahme insgesamt";"339942";"ha";"";"";""
"Reduzierte Fläche Einzelst. insgesamt";"39953";"ha";"";"";""
"Bewilligte, vollzogene Fällung Einzelst.";"14467";"ha";"";"";""
"Bewill., vollz. Fällung Einzelst. red. Fläche";"3560";"ha";"";"";""
"Freie Fällung Einzelstammentnahme";"325475";"ha";"";"";""
"Freie Fällung Einzelst. reduzierte Fläche";"36393";"ha";"";"";""
